,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
Charging point info,10 CPs (7.20 kW),10 CPs (7.20 kW),10 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW)
Investment cost,"$15,000.00","$15,000.00","$15,000.00","$13,500.00","$13,500.00","$13,500.00","$13,500.00","$13,500.00","$13,500.00"
Peak demand increase,7.56%,0.00%,0.00%,13.60%,0.00%,0.00%,4.58%,0.00%,0.00%
PAPR,2.55,2.44,2.44,2.69,2.44,2.44,2.48,2.44,2.44
Average SOC at dep time,100.00%,80.72%,76.36%,97.56%,80.72%,74.80%,97.38%,79.50%,75.39%
Average deviation of SOC at dep time to max SOC,0.00%,19.28%,23.64%,2.44%,19.28%,25.20%,2.62%,20.50%,24.61%
SOC min-max range,0.00%,74.44%,75.68%,52.22%,74.44%,74.44%,52.22%,74.44%,75.68%
Average num of charging days,7.00,4.40,3.50,6.90,4.40,3.30,6.90,4.30,3.30
Optimality gap,,0.0000%,0.4751%,,0.0000%,0.7776%,,0.0452%,0.9649%
Objective value,,163.38,165.46,,163.38,165.79,,163.46,165.61
Economic objective,,"17,217.45","17,216.68",,"15,709.78","15,709.01",,"15,709.53","15,709.01"
Technical objective,,163.38,165.46,,163.38,165.79,,163.46,165.61
Social objective,,"1,201.81","1,435.70",,"1,201.81","1,477.17",,"1,264.21","1,466.36"
