,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
Charging point info,10 CPs (7.20 kW),10 CPs (7.20 kW),10 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW),9 CPs (7.20 kW)
Investment cost,"$15,000.00","$15,000.00","$15,000.00","$13,500.00","$13,500.00","$13,500.00","$13,500.00","$13,500.00","$13,500.00"
Peak demand increase,7.56%,0.00%,0.00%,13.60%,0.00%,0.00%,4.58%,0.00%,0.00%
PAPR,2.55,2.39,2.39,2.69,2.39,2.39,2.48,2.39,2.39
Average SOC at dep time,100.00%,96.30%,93.99%,97.56%,96.30%,93.85%,97.56%,96.19%,94.00%
Lowest SOC at dep time,100.00%,72.87%,49.76%,47.78%,72.87%,45.60%,47.78%,72.87%,45.60%
SOC min-max range,0.00%,27.13%,50.24%,52.22%,27.13%,54.40%,52.22%,27.13%,54.40%
Average num of charging days,7.00,6.60,3.50,6.90,6.60,3.50,6.90,6.50,3.50
Optimality gap,,0.0000%,0.8980%,,0.8841%,1.8671%,,2.3413%,2.1774%
Economic objective,,"1,725.65","1,725.64",,"1,574.82","1,574.85",,"1,574.86","1,574.88"
Technical objective,,217.82,243.24,,224.59,244.14,,234.94,245.57
Social objective,,496.20,592.13,,496.20,587.75,,496.20,592.85
