,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,400.0,1000.0,1000.0,800.0
p_peak_increase,0.0,0.0,0.0,0.0,0.0,0.0
papr,2.399,2.437,2.4383,2.4025,2.3981,2.3985
avg_soc_t_dep_percent,94.2621,79.9743,82.1766,90.6106,93.7424,90.344
avg_soc_to_max_deviation,5.737899999999996,20.0257,17.823400000000007,9.389399999999995,6.2575999999999965,9.656000000000006
soc_range,29.29791311055719,54.744830243073096,48.80624150954066,54.39952664301312,32.91143140491786,54.39952664301312
num_cp,10.0,10.0,2.0,5.0,5.0,4.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,6.5,3.5,5.5,3.5,6.5,3.5
total_objective_value,550.7584750779134,1107.2597360093234,876.778813549844,685.9612654888012,552.5545379080405,660.3795999712886
mip_gap,3.4678338330662137e-12,4.942949853644382,1.9091903484352142,4.835130080183222,1.125234245083569,4.839178100816292
