,config_1_opportunistic,config_2_opportunistic,config_3_opportunistic
investment_cost,2000.0,1000.0,1000.0
p_peak_increase,0.0,0.0,0.0
papr,2.4316,2.3995,2.3995
avg_soc_t_dep_percent,89.6938,93.4851,93.1893
avg_soc_to_max_deviation,10.306200000000004,6.514899999999997,6.810699999999997
soc_range,44.792284265653116,35.173336166822395,36.30428854777341
num_cp,10.0,5.0,5.0
p_cp_rated,2.4,2.4,2.4
avg_num_charging_days,6.0,6.3,6.0
economic,0.333,0.333,0.333
technical,0.333,0.333,0.333
social,0.334,0.334,0.334
normalised_objective,0.5042532141463087,0.5345669942701677,0.5688167733432427
norm_economic,0.004370028404083046,0.497606668894952,0.49746133179082286
norm_technical,0.3072146800312126,0.6400680685217297,0.6554466916543547
norm_social,1.1990883420280098,0.46623145721680465,0.5535880285508938
total_objective_value,5117.384361255508,3997.0501298203626,4005.067790314615
economic_objective,4220.807262267738,3210.34800156428,3210.3480019725494
technical_objective,168.85815430482776,235.03857244445533,234.51449226276745
social_objective,727.7189446829425,551.6635558116276,560.2052960792984
mip_gap,2.7961809696364774e-12,9.326354563860711,12.85616613566678
