,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,2000.0,600.0,600.0,600.0,600.0,600.0,600.0
p_peak_increase,3.01,0.0,0.0,3.01,0.0,0.0,3.01,0.0,0.0
papr,2.4442,2.4357,2.437,2.4454,2.4375,2.4375,2.4475,2.4375,2.4375
avg_soc_t_dep_percent,99.0407,80.7683,74.2511,93.0053,71.296,70.6258,91.5863,73.5054,72.4387
avg_soc_to_max_deviation,0.9592999999999989,19.231700000000004,25.748900000000006,6.994699999999995,28.703999999999994,29.374200000000002,8.413700000000006,26.494600000000005,27.561300000000003
soc_range,19.875717119203514,65.6372911557147,65.98535718781369,59.19017286990467,75.9866274351495,75.36155780969811,64.74572842546023,73.3381935597804,73.422797679574
lowest_soc,80.12428288079649,34.36270884428529,34.01464281218631,40.80982713009533,24.013372564850503,24.638442190301888,35.25427157453977,26.661806440219603,26.577202320425997
num_cp,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,7.0,5.3,3.5,6.6,4.0,3.5,6.9,3.9,3.5
total_objective_value,,586.4644716965632,590.5922612328717,,453.3673995799049,453.59203048130337,,454.89585271329906,455.6097148002736
economic_objective,,4217.341264073945,4216.227694054744,,2762.0754636376023,2762.0884194885953,,2762.0754639177526,2762.0884194885975
technical_objective,,164.7303452891687,168.96949182739735,,177.15985321614465,177.38318853244382,,178.6883063215238,179.40087285141385
social_objective,,1160.7005273237494,1459.1436242648097,,1589.466221154135,1626.536699728599,,1510.9463066968988,1541.1504955338285
mip_gap,,1.7446607405468515e-13,0.3662904876659637,,1.72215594717572,1.75674884718622,,2.0144431486035916,2.2400119332326036
