,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,400.0,400.0,400.0,400.0
p_peak_increase,3.1300000000000003,3.3099999999999996,3.01,3.01,0.0,6.02
papr,2.5145,2.519,2.5116,2.5116,2.4383,2.5849
avg_soc_t_dep_percent,42.1151,54.9335,64.6855,61.3984,66.6624,61.4527
avg_soc_to_max_deviation,57.8849,45.0665,35.314499999999995,38.6016,33.337599999999995,38.5473
soc_range,81.13613361170474,75.4316020342732,68.31450504078067,77.60197461081863,71.62823867689197,78.41697256198574
num_cp,10.0,10.0,2.0,2.0,2.0,2.0
p_cp_rated,1.3,1.3,2.4,2.4,2.4,2.4
avg_num_charging_days,5.3,3.5,6.1,3.5,6.9,3.4
economic,1.0,1.0,1.0,1.0,1.0,1.0
technical,0.0,0.0,0.0,0.0,0.0,0.0
social,0.0,0.0,0.0,0.0,0.0,0.0
total_objective_value,4215.106649625589,4215.106649625588,2553.7367866118902,2553.736786611847,2553.7367866118902,2553.7367866118802
economic_objective,4215.106649625589,4215.106649625588,2553.7367866118902,2553.736786611847,2553.7367866118902,2553.7367866118802
technical_objective,316.39521789468427,313.06773806263936,869.0802427619286,827.5105155105143,1248.6188291095539,921.5126241197594
social_objective,2440.8757632709735,2119.6417424384836,1724.4965395675185,1950.6285343974641,1684.6697695673442,1909.725103106147
mip_gap,0.0,0.40537954460832865,0.11986335371730918,3.152836901951065e-08,0.0,0.0
