,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,2000.0,600.0,600.0,800.0,800.0,800.0,600.0
p_peak_increase,3.01,0.0,0.0,3.01,0.0,0.0,3.01,0.0,0.0
papr,2.4442,2.3982,2.3995,2.4454,2.4022,2.4196,2.4465,2.4019,2.4037
avg_soc_t_dep_percent,99.0407,94.4161,91.4399,93.0053,90.9747,86.694,93.2739,91.8427,88.1546
avg_soc_to_max_deviation,0.9592999999999989,5.5839,8.560100000000006,6.994699999999995,9.025300000000001,13.305999999999997,6.726100000000002,8.157300000000006,11.845399999999998
soc_range,19.875717119203514,28.790672974217273,50.23623460015661,59.19017286990467,47.613812357298826,52.21601184678135,55.48646916620097,47.613812357298826,54.254043670995685
num_cp,10.0,10.0,10.0,3.0,3.0,4.0,4.0,4.0,3.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,7.0,6.5,3.5,6.6,6.1,3.5,6.8,6.1,3.5
total_objective_value,,747.4854908608637,1205.36769001624,,616.6811043627182,604.5582306611582,,622.913157062073,665.0683865424558
mip_gap,,0.0,5.659028626530583e-14,,2.6752858917954314,6.544701860844879,,4.076501652198274,8.867421740486401
