,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
investment_cost,15000.0,15000.0,15000.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
p_peak_increase,7.5600000000000005,0.0,0.0,13.600000000000001,0.0,0.0,4.58,0.0,0.0
papr,2.5484,2.3907,2.3908,2.6931,2.3914,2.391,2.4792,2.3909,2.3907
avg_soc_t_dep_percent,100.0,96.3024,93.9926,97.5559,96.299,93.8459,97.5559,96.1851,94.0023
avg_soc_to_max_deviation,0.0,3.6975999999999942,6.007400000000004,2.444100000000006,3.7009999999999934,6.1541,2.444100000000006,3.8148999999999944,5.997699999999995
soc_range,0.0,27.126292308780677,50.23623460015661,52.21601184678135,27.126292308780677,54.39952664301312,52.21601184678135,27.126292308780677,54.39952664301312
lowest_soc,100.0,72.87370769121932,49.76376539984339,47.78398815321865,72.87370769121932,45.60047335698688,47.78398815321865,72.87370769121932,45.60047335698688
num_cp,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
p_cp_rated,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
avg_num_charging_days,7.0,6.6,3.5,6.9,6.6,3.5,6.9,6.5,3.5
economic,,0.0,0.0,,0.0,0.0,,0.0,0.0
technical,,1.0,1.0,,1.0,1.0,,1.0,1.0
social,,1.0,1.0,,1.0,1.0,,1.0,1.0
normalised_objective,,714.0210697733835,835.3684773582012,,720.7886352637074,831.8933259365824,,731.1391810623721,838.4187439669294
norm_economic,,9.997358662921492,9.99102811922915,,9.999320933684961,9.996933731066687,,9.996716176590063,10.030226281160125
norm_technical,,3.054401899176008,3.7868991291957963,,0.5466925535845569,0.7416078409759691,,0.6593283810571092,0.9686191891383313
norm_social,,0.009735718273956667,0.03506826644112346,,0.015405148476539626,0.007349884274700229,,0.015920569486393973,0.046103954476945715
total_objective_value,,2439.6667176734904,2561.0038846576654,,2295.611324032878,2406.7455609590684,,2306.0035495218253,2413.2965555250485
economic_objective,,1725.645647900107,1725.6354072994643,,1574.822688769171,1574.8522350224857,,1574.864368459453,1574.877811558119
technical_objective,,217.81763578690192,243.24310130156536,,224.58520127722565,244.1411011284909,,234.93574707589048,245.56951489037797
social_objective,,496.2034339864816,592.1253760566358,,496.20343398648174,587.7522248080916,,496.2034339864816,592.8492290765514
mip_gap,,6.36882257593308e-13,0.8980189788459331,,0.884137430279678,1.8671399717574224,,2.341293112498487,2.177429048418796
