,config_2_opportunistic
investment_cost,1200.0
p_peak_increase,0.0
papr,2.3617
avg_soc_t_dep_percent,95.2468
avg_soc_to_max_deviation,4.753200000000007
soc_range,27.590840977815503
lowest_soc,72.4091590221845
num_cp,6.0
p_cp_rated,2.4
avg_num_charging_days,6.6
economic,1.0
technical,1.0
social,1.0
normalised_objective,960.7080800892712
norm_economic,6.80562905770634
norm_technical,9.90521567306948
norm_social,-12.44107074657374
total_objective_value,960.7080800892712
economic_objective,345.1765821073888
technical_objective,274.27177508993543
social_objective,341.259722891947
mip_gap,2.8080717218193247
