,objective_value,investor_score,dso_score,user_score,economic_weight,technical_weight,social_weight,pareto_rank,distance_to_ideal
43,455.4863160220722,1.0,1.0,0.9834712490510026,0.1,0.5,0.4,1,0.016528750948997417
35,754.5561842248208,1.0,1.0,0.9834712490510026,0.2,0.3,0.5,1,0.016528750948997417
26,1043.082047485582,1.0,1.0,0.9834712490510026,0.3,0.3,0.4,1,0.016528750948997417
46,471.2830570517633,1.0,0.5058122247646804,0.9845423555257261,0.1,0.2,0.7,1,0.49442946510571945
36,759.8203203125249,1.0,0.5058122247646804,0.9845423555257261,0.2,0.2,0.6,1,0.49442946510571945
37,765.0506559751631,1.0,0.5058122247646804,0.9845423555257261,0.2,0.1,0.7,1,0.49442946510571945
44,460.7583184930657,1.0,0.9999999999999871,0.9834712490510026,0.1,0.4,0.5,2,0.016528750948997417
45,466.0303209640593,1.0,0.9999999999999871,0.9834712490510026,0.1,0.3,0.6,2,0.016528750948997417
47,476.51339271440145,1.0,0.5058122247645886,0.9845423555257261,0.1,0.1,0.8,2,0.49442946510581115
34,749.2841817538272,1.0,0.999999999999846,0.9834712490510026,0.2,0.4,0.4,3,0.016528750948997417
27,1048.354049956576,1.0,0.999999999999846,0.9834712490510026,0.3,0.2,0.5,3,0.016528750948997417
21,1341.9290680404035,1.0,0.49751646947648553,0.9845423555257261,0.4,0.1,0.5,3,0.5027212321158404
20,1336.878888919461,1.0,0.9994362059387512,0.9830616980902973,0.4,0.2,0.4,4,0.016947682299587083
28,1053.5039092225577,1.0,0.4975164694748497,0.9845423555257261,0.3,0.1,0.6,4,0.5027212321174755
42,450.2098150323148,1.0,0.9994362059387446,0.9830616980902973,0.1,0.6000000000000001,0.3,5,0.0169476822995873
15,1630.351472700553,1.0,0.4971815003891647,0.9841328045650204,0.5,0.1,0.4,5,0.503068793945583
33,743.9971468418465,1.0,0.9918707672256728,0.9669902312609282,0.2,0.5,0.3,6,0.03399601826252888
16,1635.3322592055083,1.0,0.041331823026729594,0.9815535647188856,0.5,0.0,0.5,6,0.958845631223209
48,481.6316239341244,1.0,0.04132518902130433,0.981731587955681,0.1,0.0,0.9,6,0.9588488557033683
38,770.0567827519706,1.0,0.04132518902130433,0.981731587955681,0.2,0.0,0.8,6,0.9588488557033683
53,153.40392453989955,0.0,0.9983166253333859,0.9365384944691434,0.0,0.6000000000000001,0.4,6,1.0020130719878415
54,156.22132224234736,0.0,0.9983166253333859,0.9365384944691434,0.0,0.5,0.5,6,1.0020130719878415
55,159.03871994479516,0.0,0.9983166253333859,0.9365384944691434,0.0,0.4,0.6,6,1.0020130719878415
56,161.85611764724294,0.0,0.9983166253333859,0.9365384944691434,0.0,0.3,0.7,6,1.0020130719878415
57,164.67351534969072,0.0,0.9983166253333859,0.9365384944691434,0.0,0.2,0.8,6,1.0020130719878415
58,167.49091305213855,0.0,0.9983166253333859,0.9365384944691434,0.0,0.1,0.9,6,1.0020130719878415
19,1331.5000382723276,1.0,0.9761688578949957,0.8817327740680732,0.4,0.3,0.3,7,0.12064435363357183
9,1918.564075625869,1.0,0.48335758340213636,0.8827130828102921,0.6000000000000001,0.1,0.3,7,0.5297882667367652
10,1923.7529340058377,1.0,0.05925829921044252,0.9621715637018149,0.6000000000000001,0.0,0.4,7,0.9415019586794258
52,150.52252530418087,0.0,0.9921605489575064,0.9273891960896079,0.0,0.7000000000000001,0.3,7,1.0026633462120578
25,1037.755891328678,1.0,0.9761688578948444,0.8817327740680732,0.3,0.4,0.3,8,0.12064435363360172
13,1619.4704698381438,1.0,0.9761688578948509,0.8817327740680714,0.5,0.3,0.2,8,0.1206443536336022
29,1058.4819415698164,1.0,0.045149826913615146,0.9466944787932325,0.3,0.0,0.7,8,0.9563369341577393
22,1346.9071003876625,1.0,0.04771040881324679,0.9076051644015276,0.4,0.0,0.6,8,0.9567613449172694
59,170.3083107545863,0.0,0.05496102615925954,0.9220458193726264,0.0,0.0,1.0,8,1.3781057711058484
8,1913.0465967550597,1.0,0.9627317641017592,0.8817327740680732,0.6000000000000001,0.2,0.2,9,0.12400023442155403
18,1325.674857838011,1.0,0.9628453230431748,0.8751042096982586,0.4,0.4,0.2,9,0.13030513594967233
6,2211.913548002868,1.0,0.046920457905721254,0.8818304284091198,0.7000000000000001,0.0,0.3,9,0.9603773535483915
14,1625.188269632159,1.0,0.9627317641017592,0.8817327740680714,0.5,0.2,0.3,10,0.12400023442155572
5,2206.426335940414,1.0,0.9627317641016221,0.8817327740680732,0.7000000000000001,0.1,0.2,10,0.12400023442159525
24,1031.851632070002,1.0,0.9439689868230533,0.8640893918341431,0.3,0.5,0.2,11,0.14700737345333484
3,2499.7832751257683,1.0,0.04692724452467493,0.8816674962081982,0.8,0.0,0.2,11,0.9603906802353747
51,146.14778289072345,0.0,0.9360198281055113,0.8709664164279268,0.0,0.8,0.2,11,1.0103183300747838
41,444.07953724139935,1.0,0.9439689868230468,0.8640893918341418,0.1,0.7000000000000001,0.2,12,0.14700737345333856
32,737.9655846557006,1.0,0.9439689868230468,0.8640893918341418,0.2,0.6000000000000001,0.2,12,0.14700737345333856
40,433.0007251478277,1.0,0.875119894164754,0.6743951778477985,0.1,0.8,0.1,13,0.3487313307435812
17,1315.7624165433947,1.0,0.840691455817627,0.6852608256756515,0.4,0.5,0.1,13,0.3527604854626999
12,1609.793564251536,1.0,0.840691455817627,0.6852608256756515,0.5,0.4,0.1,13,0.3527604854626999
23,1021.7249485487677,1.0,0.8435916681566489,0.6791041697264246,0.3,0.6000000000000001,0.1,13,0.35698417353852974
1,2784.1209769771044,1.0,0.04383592917261343,0.7013460568871273,0.9,0.0,0.1,13,1.0017204740236003
50,135.96114552446545,0.0,0.8455218154698873,0.7026339469948257,0.0,0.9,0.1,13,1.0546516386824587
31,727.4000696054775,1.0,0.8718836591224645,0.6674045411576124,0.2,0.7000000000000001,0.1,14,0.35641764272048493
7,1903.7590290298567,1.0,0.8255439807263115,0.6597282150356665,0.6000000000000001,0.3,0.1,15,0.3823869640869511
4,2197.2902981473685,1.0,0.8110806408893958,0.660588453432177,0.7000000000000001,0.2,0.1,15,0.38844654997865913
2,2490.7332807967314,1.0,0.8110806408893958,0.6605884534321762,0.8,0.1,0.1,16,0.3884465499786598
11,1589.7262452601674,1.0,0.8158472039383139,0.04797093691773454,0.5,0.5,0.0,16,0.9696760228296011
39,412.22740716048423,1.0,0.7896196352479824,0.2874854911737277,0.1,0.9,0.0,17,0.7429245070403425
30,706.6282900651718,1.0,0.7896196352479824,0.2874854911737277,0.2,0.8,0.0,17,0.7429245070403425
0,3060.7143088735174,1.0,0.0,0.0,1.0,0.0,0.0,18,1.4142135623730951
49,116.99731285883529,0.0,0.7888785557135919,0.005933991821849131,0.0,1.0,0.0,18,1.4257417342747678
