INDEX_TIME,PD_Once_DEPTIME,PD_Once_ARRTIME,PD_Twice_1st_DEPTIME,PD_Twice_2nd_DEPTIME,PD_Twice_1st_ARRTIME,PD_Twice_2nd_ARRTIME,PD_Three_1st_DEPTIME,PD_Three _2nd_DEPTIME,PD_Three_3rd_DEPTIME,PD_Three_1st_ARRTIME,PD_Three _2nd_ARRTIME,PD_Three_3rd_ARRTIME
1,8.07094E-05,0.003288381,6.19365E-05,0.00021658,8.45294E-05,0.006590423,0.000293548,0.000508066,0.001218158,0.000261697,0.000676726,0.01350299
2,3.22894E-05,0.001973519,1.51548E-06,0.000116674,4.03011E-05,0.003303111,3.2713E-05,0.000293548,0.000407265,0.000144168,0.000252336,0.008207577
3,8.76669E-06,0.001207077,9.82514E-24,0.00016005,1.3848E-05,0.001536221,8.44223E-07,0.000117656,0.000442097,5.62856E-05,0.000148552,0.004910427
4,1.93491E-06,0.000747812,7.95769E-18,0.00016518,3.39656E-06,0.000973925,5.04523E-09,3.2713E-05,0.000702718,1.53359E-05,0.000288497,0.003090404
5,7.18568E-06,0.000453476,5.43215E-13,0.000173787,1.63263E-06,0.000867213,8.49261E-07,6.30958E-06,0.000700477,3.28788E-06,0.000395509,0.002044881
6,4.76781E-05,0.000274168,3.12531E-09,0.00016518,7.31185E-06,0.000761152,3.35572E-05,8.4422E-07,0.000404604,3.66024E-06,0.000284445,0.001392938
7,0.0001976,0.000170398,3.0341E-06,0.000158008,3.27655E-05,0.00042026,0.000326266,3.92914E-08,0.000132605,1.89288E-05,0.00010581,0.000957212
8,0.000615862,0.000110747,0.000136,8.30951E-05,0.000106718,0.000195784,0.000908623,5.04523E-09,2.40493E-05,7.88388E-05,2.03582E-05,0.000603955
9,0.00164557,9.89749E-05,0.00094946,1.58008E-05,0.000268167,8.1242E-05,0.001104057,3.92914E-08,2.24065E-06,0.000245903,2.02599E-06,0.000307606
10,0.003677669,0.000166306,0.002978817,2.04219E-06,0.000570399,1.44289E-05,0.002259564,8.83398E-07,1.2016E-07,0.000611805,1.04323E-07,0.000115819
