INDEX_TIME, PD_DEPTIME,PD_ARRTIME
1,0.000253161,0.004383852
2,4.66563E-05,0.002710001
3,0.000159435,0.001924692
4,9.37088E-05,0.001308313
5,9.34559E-06,0.001670541
6,9.3635E-06,0.000939424
7,0.000476162,0.000590233
8,0.004421259,0.00041644
9,0.012218175,0.000493508
10,0.024143305,0.000726295
11,0.046598244,0.001226269
12,0.074961174,0.000960768
13,0.097599229,0.002031277
14,0.116481766,0.003298527
15,0.132073007,0.004495259
16,0.140847436,0.004496924
17,0.096897319,0.004103535
18,0.059219651,0.004591984
19,0.032274704,0.004151044
20,0.020445893,0.004383852
21,0.013313402,0.005460848
22,0.011132276,0.005162653
23,0.010241827,0.00752811
24,0.010215139,0.007748055
25,0.009135113,0.011715159
26,0.010057,0.012810477
27,0.008468096,0.015036675
28,0.011407098,0.016251728
29,0.010233363,0.022674814
30,0.008020799,0.031475325
31,0.0070464,0.045759519
32,0.007177852,0.06475208
33,0.007610381,0.085692168
34,0.006053346,0.104485079
35,0.004778734,0.125137396
36,0.004254656,0.119060344
37,0.003373534,0.09144968
38,0.002483085,0.056609433
39,0.001995885,0.033365636
40,0.001855106,0.019292906
41,0.002146856,0.013418681
42,0.00116097,0.01051707
43,0.001631242,0.012969259
44,0.001236456,0.011313729
45,0.001490463,0.011688972
46,0.000993504,0.010118509
47,0.000205659,0.008685639
48,0.000262471,0.007019961
