INDEX_TIME,PD_ARRTIME, PD_DEPTIME
1,0.000180597,0.002066206
2,0.000179905,0.001426596
3,9.24721E-05,0.000897994
4,0.000140732,0.000963483
5,0.000115518,0.000646249
6,6.92644E-05,0.000427762
7,0.000212761,0.000374109
8,0.000867436,0.000575886
9,0.003555332,0.000803456
10,0.008928681,0.001201531
11,0.017305815,0.001680077
12,0.032784979,0.002722113
13,0.050381652,0.004140734
14,0.073415737,0.005819932
15,0.088978017,0.007421398
16,0.11287073,0.008070802
17,0.121662857,0.008589641
18,0.104565565,0.01128843
19,0.065350656,0.012884017
20,0.039880904,0.013820621
21,0.026998339,0.015661516
22,0.022669794,0.017085542
23,0.020375511,0.017613961
24,0.019124485,0.020844161
25,0.019199319,0.023419051
26,0.019481332,0.024057686
27,0.019463171,0.024029925
28,0.017925114,0.030229511
29,0.016414408,0.038291982
30,0.016482182,0.053802916
31,0.013319533,0.068354361
32,0.012575822,0.081877293
33,0.011134524,0.093176835
34,0.00993593,0.111191837
35,0.007510609,0.09349331
36,0.005682216,0.063084859
37,0.004340585,0.03679853
38,0.003285271,0.022571595
39,0.002523451,0.014048771
40,0.002041085,0.010236956
41,0.001687582,0.007826348
42,0.001260236,0.008113581
43,0.001077366,0.008579606
44,0.001283831,0.008660067
45,0.001054087,0.007225543
46,0.001011456,0.006314045
47,0.000480532,0.004355031
48,0.000240957,0.003366657
