Once_DEPTIME,Once_ARRTIME,Twice_1st_DEPTIME,Twice_2nd_DEPTIME,Twice_1st_ARRTIME,Twice_2nd_ARRTIME,Three_1st_DEPTIME,Three _2nd_DEPTIME,Three_3rd_DEPTIME,Three_1st_ARRTIME,Three _2nd_ARRTIME,Three_3rd_ARRTIME
665,750,500,890,610,950,750,1015,1110,530,1055,1365
480,515,500,915,575,915,480,600,1120,885,1000,1105
900,760,630,900,765,935,865,985,1080,630,720,965
630,945,780,1110,700,970,530,741,1080,538,1100,1230
715,1140,490,1220,955,1365,555,645,725,810,890,1305
565,945,525,910,1001,1281,480,1037,1220,1085,1180,1220
660,595,460,1125,545,945,525,1025,1150,690,942,1060
705,685,530,960,874,1195,1000,1165,1195,524,731,859
540,1150,480,960,1025,1330,501,804,911,359,705,785
570,1040,480,780,615,1120,350,630,735,505,775,1215
400,780,615,915,635,820,510,530,870,525,555,925
495,787,540,760,550,1005,520,920,1100,645,960,1175
630,915,455,530,750,810,690,900,1040,690,822,875
645,910,510,900,865,1155,630,740,960,885,1005,1090
780,645,560,630,720,945,610,850,1110,660,855,1030
630,1213,660,1020,585,815,495,730,905,760,1065,1470
1145,705,390,1090,535,935,510,705,880,535,790,945
660,705,585,810,615,1160,690,885,1140,560,775,1020
975,862,480,1070,730,1200,770,875,1040,694,1090,1220
690,719,840,1045,1055,1250,510,630,905,875,1010,1289
570,1240,470,1035,695,1050,523,613,900,745,1060,1340
930,765,630,930,950,1145,750,835,1040,737,915,1360
960,1065,525,928,1170,1500,750,990,1200,560,780,960
330,995,500,645,770,980,1130,1165,1225,589,706,941
600,583,630,1005,740,1395,510,795,900,815,850,1100
795,815,455,810,815,1005,510,870,1040,520,810,1185
600,1052,420,945,623,995,520,690,930,945,1135,1300
520,1050,560,900,525,675,480,890,1020,1143,1215,1248
675,780,520,730,925,1261,540,750,930,555,815,950
810,839,525,900,632,940,525,990,1350,525,690,940
1020,860,760,1260,480,885,490,810,900,695,970,1085
330,850,520,915,709,985,480,900,1005,541,780,955
940,752,525,935,730,980,455,875,1010,545,975,1080
1037,990,660,1250,550,950,450,600,945,635,930,1070
915,1350,765,1170,493,875,560,665,945,580,820,1000
630,1015,510,885,1125,1330,715,840,905,800,1055,1415
555,975,525,1030,550,950,270,510,1165,572,835,1035
450,1058,1010,1170,540,950,525,915,1150,510,930,1090
540,1285,600,1170,705,1305,495,525,1105,680,965,1190
752,1000,585,750,786,1195,525,738,925,760,1045,1285
720,940,505,730,555,925,992,1065,1148,630,775,1040
680,1210,460,1115,1055,1360,535,730,850,765,895,950
675,1055,750,1170,965,1210,920,1060,1075,485,795,1410
1155,1100,480,710,735,820,1044,1081,1230,685,950,1285
600,825,525,905,538,930,525,910,960,520,545,1170
795,932,530,910,990,1360,504,790,900,737,890,945
495,870,310,1095,1050,1412,520,740,915,999,1084,1168
600,1030,1080,1230,535,925,520,615,701,633,770,1080
660,937,570,715,537,925,525,600,915,945,1075,1115
690,735,470,1060,396,1205,530,870,1065,1080,1092,1265
495,1005,495,885,1155,1320,554,655,960,533,925,1000
405,1055,660,740,615,760,730,905,1110,860,1030,1280
735,995,505,885,540,930,630,750,1220,565,805,955
510,1080,810,1200,725,978,780,940,1005,590,700,845
425,715,690,1080,717,826,538,721,986,550,670,955
1170,975,720,822,521,910,1100,1245,1285,561,725,1030
890,807,460,555,960,1355,750,1155,1215,760,995,1130
795,1015,525,600,820,1100,540,780,945,670,1135,1290
350,545,520,995,920,1080,765,840,1260,808,960,1045
1110,1055,512,885,1127,1350,435,600,955,608,770,1026
480,475,495,885,566,930,500,1025,1095,1220,1280,1335
510,1210,500,1025,525,908,720,765,875,850,985,1295
540,920,510,900,536,925,720,840,1075,855,1185,1395
470,960,555,1065,560,1325,560,830,1240,600,890,1000
595,420,540,1095,660,1215,690,930,1230,450,645,980
510,1280,660,960,780,1050,510,645,1045,755,785,1160
710,500,630,1145,633,1250,510,825,905,740,915,1085
1080,705,1060,1155,1070,1208,915,1065,1190,765,997,1170
675,995,630,1020,780,1035,485,535,1085,715,870,1290
540,875,570,715,710,765,520,645,760,895,945,1285
540,1070,565,950,885,1439,480,890,1140,1080,1200,1430
470,860,522,900,555,960,780,960,1100,525,658,1053
570,1190,990,1035,1035,1320,640,810,1380,670,900,960
1140,945,540,645,635,875,495,920,1005,425,1091,1205
1200,860,630,840,1265,1300,485,896,1008,925,1160,1330
750,1125,990,1290,780,910,735,840,1322,506,556,1120
540,573,855,1145,575,1020,525,790,915,630,680,800
500,539,600,1150,870,1260,495,900,995,540,955,1365
1040,990,520,915,1035,1360,690,890,955,955,1065,1345
510,720,510,900,805,955,705,958,1105,790,975,1430
480,1015,870,1140,885,1330,650,930,1050,755,945,1100
1200,1060,780,870,990,1145,690,855,1580,538,825,1020
660,1330,500,630,810,970,660,1050,1290,815,990,1240
690,1260,520,885,529,680,660,900,1075,560,905,1185
615,1170,660,750,538,903,825,885,1015,750,950,980
1095,1000,390,420,725,845,830,970,1050,660,795,1025
480,855,530,730,403,1185,790,1035,1130,875,948,1130
495,1075,510,1080,550,800,480,656,1060,805,1575,1600
600,650,525,885,757,1215,763,895,1225,840,1095,1655
1050,1074,590,720,655,1005,495,870,1170,770,960,1030
1020,1140,720,840,675,760,550,600,840,670,975,1090
1080,700,690,1170,765,970,680,900,980,845,900,1065
530,715,460,995,845,1290,495,818,1020,730,950,1335
600,760,520,1035,484,1025,485,645,730,889,990,1097
750,1145,850,1180,935,1305,435,1070,1160,890,1100,1305
1110,1140,450,780,937,1330,870,1155,1380,668,900,1320
570,840,770,935,840,1005,480,690,1120,875,975,1325
750,830,390,840,570,930,490,915,975,735,975,1215
600,920,1085,1200,1150,1285,630,855,1080,570,820,995
495,1085,480,900,850,1235,580,920,1000,785,950,1085
840,960,510,855,835,925,480,660,1230,640,995,1190
690,1320,510,890,550,915,690,855,1080,511,916,1055
