DEPTIME,ARRTIME
525,1075
330,1380
710,975
420,1320
450,1065
345,1020
390,840
450,995
400,1030
555,1005
475,1125
390,1050
405,915
390,390
435,980
480,1020
520,1005
455,1075
480,1090
570,1065
535,975
490,1005
500,975
885,1235
435,960
480,1110
480,1095
435,995
425,1080
390,960
540,940
450,1050
480,915
330,1125
580,880
660,740
420,1110
465,1065
340,885
520,755
450,1275
480,1050
450,1020
450,1035
330,1065
340,950
435,1055
360,1065
1150,1480
870,1400
330,1005
300,980
525,782
420,1035
1110,825
866,1460
450,740
535,1075
585,1010
480,1020
450,1075
465,1125
450,1140
420,1025
340,1130
480,1050
470,1080
380,1035
885,1102
600,850
330,990
325,820
750,705
755,1070
305,1065
660,1380
480,1035
440,1055
390,945
470,1165
390,960
450,975
855,1065
480,815
860,1260
600,765
405,945
840,1425
1344,906
1125,1415
1320,1580
390,1375
490,1090
330,960
930,1030
370,1420
360,945
540,1080
345,900
265,1015
520,935
480,690
780,975
450,1045
405,1065
780,1055
495,1000
480,985
460,1300
540,1445
405,960
360,1220
420,470
360,980
1015,1190
435,1050
480,1115
600,1100
390,555
450,550
480,1030
895,945
375,920
895,990
290,1085
680,1020
305,930
315,1120
330,1065
360,960
480,960
630,1170
360,1090
300,1025
300,1050
450,1065
345,1110
465,855
480,270
540,1030
510,1085
540,941
915,1380
350,1465
810,1010
885,1095
450,1085
1035,1040
930,920
435,1080
520,940
360,975
750,1110
630,1095
390,742
720,1097
390,760
525,1005
790,1110
480,1225
800,1300
510,1050
450,690
960,980
420,915
500,990
375,1020
705,1140
755,1435
435,1155
320,1020
420,1095
480,1020
870,1100
465,1080
450,1120
480,615
330,1170
360,1115
480,1100
490,1050
460,1050
330,850
510,1305
480,870
420,1035
480,1120
475,1050
310,1005
450,920
450,900
530,945
420,1110
395,1015
450,1005
390,1196
450,1092
315,750
665,1020
690,870
300,895
375,300
330,1325
525,1010
315,1176
900,782
450,1028
495,1105
1045,1110
750,1050
720,930
720,1035
370,1080
638,1005
450,975
360,1065
470,940
360,990
420,965
540,1210
420,950
655,855
620,1005
300,1065
350,948
415,980
420,1040
1095,1438
390,1080
480,1050
465,990
480,1010
450,960
300,1110
450,1050
450,1220
450,915
960,655
450,1320
450,960
360,1100
480,1050
570,1080
510,660
450,1015
740,1140
730,870
450,1110
950,990
1280,1080
390,1520
800,1035
410,1350
440,1155
400,1085
485,1010
480,1070
405,1055
400,1065
435,990
600,1035
540,685
300,1350
735,810
570,1115
390,1065
480,915
480,1150
410,1150
765,1080
300,1080
420,925
420,1035
480,642
420,1050
410,1210
510,1065
615,1028
480,940
525,1100
975,1030
470,1055
510,1040
360,1110
525,1110
420,1140
435,920
525,1075
470,965
490,1020
480,970
392,790
480,1130
380,1110
510,840
450,1015
525,920
510,1045
435,1031
480,1075
480,1175
465,1060
405,1065
650,1055
360,957
405,1035
510,1065
660,1110
485,690
410,1150
530,1140
940,570
405,510
435,1120
420,1065
470,1005
390,1080
420,1020
510,1120
510,1110
1280,1185
390,1095
730,1100
480,960
420,1030
480,1030
420,1060
450,830
460,1105
420,1140
375,1210
450,1080
300,765
375,1065
300,1020
540,980
840,1070
510,975
520,1110
450,605
435,930
465,1100
520,805
390,940
470,960
320,1115
360,1180
455,1070
490,1065
390,1070
420,990
540,1140
480,975
540,1070
950,1095
600,1153
565,1100
450,820
525,1180
1065,1080
420,1080
510,860
555,950
405,880
480,1335
420,1095
460,880
480,855
420,850
330,1120
450,1050
320,420
1050,1470
510,910
600,1025
340,1122
300,1075
480,1325
450,480
1110,610
360,1196
390,1277
450,1125
525,735
450,975
420,1150
420,1095
990,1110
1115,1020
510,1095
570,1040
440,765
360,990
360,1245
375,1100
470,1075
525,985
570,1110
480,1160
420,960
390,415
300,1240
420,510
555,1215
510,1095
425,1185
855,1130
450,1070
495,1140
480,1155
480,605
405,1035
960,990
360,870
450,672
445,1020
525,1395
380,975
420,1080
515,900
665,1220
360,1160
450,1050
480,965
750,1085
480,945
500,1080
450,1075
460,1055
540,1125
510,985
510,935
630,720
510,1125
420,925
405,1040
510,940
435,1090
345,1065
335,1080
375,1005
450,1035
505,990
330,1020
360,945
465,1000
490,1145
435,1030
390,1130
300,1070
450,1142
405,1150
360,1080
465,960
530,1050
430,960
525,975
650,1020
660,1175
500,1080
450,1050
390,1140
345,1320
315,1070
360,1050
510,1050
360,1050
450,1226
420,1050
330,1015
370,560
810,880
515,1070
530,955
360,1035
480,1380
805,980
480,970
465,1100
420,1050
555,275
300,1675
270,1160
465,870
390,1020
810,820
510,1015
490,310
705,1085
440,900
495,1005
510,985
240,435
990,915
520,1100
405,1050
940,1105
360,735
460,1590
480,930
1000,1080
300,960
1075,1080
360,1105
390,1070
405,1115
885,1225
300,1130
555,1035
420,1290
990,1277
390,1155
330,1200
525,1110
515,1385
510,1130
470,940
450,1074
450,1050
450,1200
405,1015
560,915
510,980
525,1340
375,1080
420,950
698,1140
600,900
490,780
450,1185
450,1080
805,1131
390,930
570,1050
390,1100
500,1035
371,725
1110,1548
460,975
345,1070
410,1055
390,1621
540,735
420,1110
540,1395
520,1020
360,900
690,1285
450,1130
510,1055
360,1115
360,660
420,1415
430,960
405,600
540,1330
1115,1035
480,1095
390,1110
945,930
360,1065
480,1110
405,1022
930,1340
600,930
440,1155
435,1410
525,675
540,960
360,1110
395,1100
525,1105
1020,966
780,1025
360,1380
480,1065
510,785
450,1010
465,1025
510,1385
600,960
420,1020
630,645
440,1050
720,940
440,1060
900,1095
465,510
1005,785
1020,1080
458,510
510,1080
795,1185
320,1050
540,1130
820,1010
420,890
450,1095
375,875
420,1110
510,945
390,1110
420,1125
330,1040
540,765
495,1320
835,1580
390,1070
495,1020
930,1020
540,860
510,935
540,1080
450,1040
360,915
390,1005
935,1105
495,960
450,1005
450,980
570,1010
510,1140
1155,1065
990,1095
915,1110
540,1110
450,1065
390,1480
535,980
390,1130
510,735
360,1080
450,1140
480,780
400,1110
435,980
360,1280
380,745
445,965
330,1170
525,975
495,865
520,812
490,1070
690,915
440,920
405,1125
390,1080
420,1140
450,1063
540,1005
490,1080
510,771
465,1055
1005,1130
752,1170
460,1110
435,990
500,1005
720,960
455,970
370,949
510,950
405,1080
375,1005
315,1140
420,915
480,995
630,1300
380,1010
340,435
480,885
450,1035
440,1005
942,1030
540,880
600,1080
270,965
380,1425
390,995
405,1005
480,760
437,995
489,1070
706,915
480,810
485,1110
345,980
585,1014
375,930
480,1065
480,435
480,945
720,990
460,1100
435,1055
480,1070
420,1320
435,1170
405,1155
402,810
795,850
870,990
360,1095
440,1033
410,1213
480,330
330,1035
510,1065
450,1350
405,850
307,1064
290,875
1295,1080
360,1045
410,1040
465,1080
440,1120
627,1095
420,1080
998,1065
540,1085
510,1125
590,1020
330,1030
300,1050
438,1050
1066,1005
1200,1110
480,860
495,1015
720,830
520,1035
446,1025
450,985
420,1155
415,1120
420,1023
450,1070
480,1080
480,865
480,1010
