ARRTIME,DEPTIME
545,1050
1020,1350
350,960
720,1310
485,990
480,990
385,880
530,1080
415,810
460,960
450,1020
595,570
755,709
570,955
535,1055
435,1050
439,435
995,990
420,995
405,900
670,360
475,630
506,960
593,960
538,810
490,1104
500,910
1010,495
515,1005
525,1015
510,990
580,995
555,1060
600,1050
675,570
729,645
842,721
507,809
510,960
360,760
900,990
450,930
510,1220
500,940
480,1080
750,1065
460,962
420,1005
360,1035
480,930
555,900
565,1020
480,555
515,900
345,1095
595,930
685,1020
432,870
480,710
502,1100
355,1050
535,870
510,740
510,1260
470,990
465,1020
360,930
360,915
465,1020
380,1050
1170,930
890,1035
360,1035
525,1440
422,1380
315,960
540,900
430,960
1135,770
558,1020
886,815
480,1440
465,725
550,1050
620,980
970,1035
605,990
500,935
470,1045
495,1110
540,1125
745,1000
495,525
600,730
480,1100
360,1020
502,990
946,930
510,1070
520,910
800,1040
415,1005
900,750
640,1060
345,810
540,971
355,780
795,690
537,1035
765,1020
318,1335
735,1020
505,1045
765,900
1015,855
455,750
415,990
530,1155
795,945
510,930
455,750
485,890
945,945
540,995
525,765
900,1180
665,1020
545,720
920,1080
410,920
530,1350
950,905
876,1040
1380,1020
1155,1050
1485,945
1340,955
495,876
685,1380
910,1410
510,1505
815,1355
375,640
980,885
385,1025
390,795
565,940
355,970
950,1380
285,750
535,920
495,1050
630,870
795,945
915,990
540,900
435,805
495,600
560,640
790,900
500,960
525,1110
485,480
480,540
563,615
780,885
530,1040
435,1020
760,1035
1103,960
390,765
540,945
505,1030
530,960
480,1260
550,1410
1065,920
450,600
540,507
630,1050
450,1020
486,1150
490,900
900,1170
380,451
910,960
300,1140
690,990
350,1020
345,1055
535,1055
360,540
390,960
555,540
660,1020
400,930
535,915
360,930
360,880
570,520
470,1080
512,990
405,900
539,1050
545,1050
1017,930
495,1020
975,900
525,900
735,1020
540,500
585,1030
545,920
580,539
975,995
920,1020
392,960
840,1035
915,720
485,1020
1050,1025
945,1050
575,810
473,245
535,990
380,1035
765,1080
670,900
420,1350
770,1440
415,985
555,1060
850,1080
1040,1060
545,1025
520,1020
797,900
485,1050
600,900
815,960
570,520
540,810
470,990
970,1080
480,1080
535,735
380,1090
710,540
790,750
445,995
350,1020
454,1080
480,1205
495,1290
890,1020
510,1020
495,685
560,975
420,800
465,905
382,945
485,1000
530,1080
690,720
495,1410
495,1110
345,990
585,1020
660,960
495,1080
450,990
490,975
735,1035
485,1080
570,990
630,600
660,1030
699,1155
750,1045
802,1036
816,1035
829,1020
330,660
440,795
495,555
480,610
555,640
450,697
415,735
480,795
600,808
700,828
790,840
405,1290
475,840
470,1005
345,1020
675,1060
910,945
720,1020
335,975
420,900
345,540
540,660
345,760
930,855
460,930
465,1070
1015,975
510,975
1050,1185
765,860
1000,1080
740,1110
765,720
440,960
650,855
480,660
480,870
365,270
510,461
380,1010
430,1320
525,1000
570,1170
460,767
657,1020
650,1080
315,1065
430,960
485,915
540,1020
585,1020
720,960
810,960
358,1020
926,915
460,960
475,1035
1105,960
420,600
510,1170
500,840
495,915
495,840
560,930
330,525
540,570
480,690
480,780
990,1050
510,916
525,928
525,930
480,990
610,1430
510,1050
550,1020
430,955
500,990
585,1140
550,870
625,930
675,1020
510,1020
750,1005
750,1190
480,996
995,840
1320,640
400,990
830,1260
450,900
480,1050
460,960
515,1058
510,645
435,615
420,665
450,990
625,1080
585,1215
320,840
770,1080
590,960
480,1035
510,1480
525,1020
540,1320
420,1110
775,1035
330,960
435,1040
437,1020
510,1020
450,960
500,1020
420,655
530,880
626,725
500,1300
480,785
545,1020
1005,1125
495,1020
420,900
680,900
517,1140
400,1130
410,930
780,1125
840,1050
540,1050
435,930
455,910
905,1020
545,630
500,1020
530,1020
510,1185
406,1050
535,990
405,660
520,840
460,1020
535,900
530,540
815,750
510,810
510,960
520,1080
840,1005
542,825
485,1045
510,1020
540,1090
475,1065
655,1110
392,518
425,905
525,1010
685,930
510,1010
440,960
510,780
441,750
540,1110
960,1065
430,810
450,800
445,990
580,540
570,990
480,900
410,1025
480,1030
540,1015
430,1170
540,935
660,1035
700,1050
1320,900
465,1035
730,945
735,570
495,980
480,1020
510,1260
480,975
510,1050
520,540
495,1050
510,660
405,1140
815,1020
830,1080
465,541
360,987
445,650
940,690
555,1215
320,450
410,675
590,1030
580,1050
850,990
540,1020
535,990
525,1080
770,1050
495,1130
470,495
540,1025
405,1020
481,810
345,825
445,930
375,855
470,966
505,960
420,1225
445,1050
565,810
540,570
600,1080
960,1095
615,1200
810,1050
570,750
480,750
555,990
600,960
1080,975
440,1050
810,930
520,960
570,1080
420,990
575,595
789,900
885,1080
962,785
1048,900
540,935
460,1060
495,1140
540,960
440,1225
350,1050
490,765
360,1005
325,1060
1060,1035
540,555
610,960
418,1095
355,765
315,930
520,1060
525,1080
460,555
1125,750
380,870
400,935
465,1015
535,1145
500,1080
425,790
440,1150
995,1020
1140,1060
525,840
600,1095
720,930
450,870
498,1325
655,1050
858,870
375,975
370,840
420,840
420,840
525,1110
530,1020
615,390
542,1020
435,1455
435,910
325,900
450,1010
690,1230
570,1044
810,680
525,1060
515,1320
890,460
435,1050
645,660
865,990
890,495
690,600
510,1163
990,1275
510,975
570,375
615,960
665,1053
735,1035
405,730
515,930
535,1105
590,1080
420,1050
975,985
700,660
390,710
480,660
475,950
495,1080
555,870
555,1020
410,590
435,755
455,880
510,980
525,1205
625,960
745,1040
960,555
435,600
525,645
595,710
760,1050
890,960
545,1065
530,570
675,1110
405,930
480,400
525,1225
806,450
980,1205
880,930
500,1065
760,1170
510,965
810,1095
490,845
490,430
580,450
530,470
530,1050
660,600
540,720
427,930
535,1110
770,945
420,555
497,710
570,830
630,1145
690,990
855,600
915,1020
975,930
1020,840
480,645
350,930
380,1005
1020,1390
465,750
359,970
350,780
400,950
510,520
570,1050
530,870
345,630
440,1210
615,1140
660,1020
990,960
400,744
475,1065
505,930
420,900
475,615
435,660
315,840
480,900
420,960
380,990
415,1050
475,1065
515,330
835,351
540,970
455,1022
655,1095
690,975
809,900
515,695
535,1080
650,1020
835,900
930,400
655,590
700,640
560,935
530,1020
810,900
530,1080
505,1050
595,960
420,960
390,990
345,960
420,960
555,930
375,895
460,830
480,960
390,790
410,1090
835,1020
535,635
540,670
380,780
701,1040
506,945
510,990
832,810
525,910
600,1085
480,840
440,1050
560,765
310,1105
555,1088
277,1110
495,610
505,1050
435,900
870,1020
540,930
535,930
555,1005
715,1170
450,1020
510,980
540,1095
255,1290
1010,1035
550,840
485,1050
440,1020
955,1020
390,1020
545,1200
480,1005
490,965
1010,990
305,540
1080,920
