,config_1_uncoordinated,config_1_opportunistic,config_1_flexible
investment_cost,5000.0,5000.0,5000.0
avg_p_peak,35.381853281999994,34.042287778857144,34.04228777885713
avg_papr,1.7921087288878648,1.745990821094013,1.7464535385632416
avg_daily_peak_increase,1.0420632636139098,1.0,0.9999999999999997
num_cp,25.0,25.0,25.0
p_cp_rated,2.4,2.4,2.4
total_cost_per_user,36.168981378668065,32.52229187251174,31.866424561511053
avg_soc_t_dep_percent,98.74495902511455,95.09264093517021,90.42692210488298
lowest_soc_percent,75.02191182674467,67.32121829609325,46.788783990449545
highest_soc_percent,100.0,100.0,100.0
avg_num_charging_days,7.0,6.4,3.76
mip_gap,,0.0,0.0987928884101012
