,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,800.0,800.0,1200.0,800.0
p_peak_increase,1.24,4.18,4.3999999999999995,6.02,0.0,3.01
papr,2.4229,2.4907,2.4986,2.5348,2.3932,2.4626
avg_soc_t_dep_percent,95.6747,92.0417,93.4355,92.4886,94.6214,91.1143
avg_soc_to_max_deviation,4.325299999999999,7.958299999999994,6.564499999999995,7.511399999999995,5.378600000000006,8.8857
soc_range,26.31578947368422,54.39952664301312,40.82809807158454,52.21601184678135,34.04238378586993,54.39952664301312
lowest_soc,73.68421052631578,45.60047335698688,59.17190192841546,47.78398815321865,65.95761621413007,45.60047335698688
num_cp,10.0,10.0,4.0,4.0,6.0,4.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,6.7,3.5,6.9,3.5,6.8,3.5
economic,0.5,0.5,0.5,0.5,0.5,0.5
technical,0.0,0.0,0.0,0.0,0.0,0.0
social,0.5,0.5,0.5,0.5,0.5,0.5
normalised_objective,484.1968341495382,537.107816032448,437.8620078717788,477.45306986153804,442.7789582324244,481.1459991247341
norm_economic,0.3001169011891295,0.3169900779591677,3.4443258887903143,3.4584033796334337,6.590034591664533,3.4717552535170495
norm_technical,88.5927093530904,85.6526615285703,109.29676946749846,76.81031074975472,89.86646435987554,85.35791835254672
norm_social,2.499771017288268,4.032738183737736,6.551258928745214,4.922415871592148,4.107363352909035,5.6309913155186955
total_objective_value,1289.6638012801425,1415.6146510449116,2262.6823483319013,1926.9896374234745,2024.2039935214634,1833.941772664602
economic_objective,425.4256285345188,425.64832325766673,300.8228888084914,301.0205662112421,342.3571353838339,301.0455835316385
technical_objective,321.2701329810661,341.3990189800158,1386.9583325883439,972.0834977003984,1138.6460770566148,871.6497744151337
social_objective,542.9680397645575,648.5673088072292,574.9011269350661,653.885573511834,543.2007810810148,661.2464147178297
mip_gap,0.0,0.7332396701465652,2.0910720980452004,2.7714183169266273,3.1249740086103204,4.96984044549427
