,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,600.0,400.0,600.0,600.0
p_peak_increase,0.0,0.0,0.0,0.0,0.0,0.0
papr,2.4368,2.437,2.4375,2.4378,2.4378,2.4375
avg_soc_t_dep_percent,76.5417,74.2807,71.4245,69.4736,69.7708,69.2828
avg_soc_to_max_deviation,23.458299999999994,25.719300000000004,28.575500000000005,30.526399999999995,30.229200000000006,30.717200000000005
soc_range,66.45447239194436,77.19346464318805,73.422797679574,75.36155780969811,75.3615578096981,73.422797679574
lowest_soc,33.54552760805564,22.806535356811946,26.577202320425997,24.638442190301888,24.638442190301895,26.577202320425997
num_cp,10.0,10.0,3.0,2.0,3.0,3.0
p_cp_rated,1.3,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,6.1,3.4,4.1,3.5,4.2,3.5
economic,0.5,0.5,0.5,0.5,0.5,0.5
technical,0.5,0.5,0.5,0.5,0.5,0.5
social,0.0,0.0,0.0,0.0,0.0,0.0
normalised_objective,294.60588124930405,296.2025814896982,228.1961222503889,228.8321706763439,232.3735903471487,231.19259896824653
norm_economic,0.009417549009939245,0.00858843180486448,1.5789733655724982,0.003366053587264037,1.5766957557859844,1.5836889210098066
norm_technical,2.3539726263939276,2.5941077692764765,1.5007018614105265,3.4222705101892377,2.3201631966791383,2.50774349161565
norm_social,39.36568013604212,58.22781511953171,85.78635821063624,80.91851815127329,95.02452444422141,78.09480303413802
total_objective_value,1849.799590243099,2071.724444908104,2006.0342358899074,2148.044600644788,2090.1908068530033,2082.3099528344214
economic_objective,421.6335149625588,421.62276940547434,276.20884194885974,255.41810663927717,276.18486639177524,276.20754639177545
technical_objective,167.57824753604928,170.78239357392206,180.18340255191808,202.24623471341064,188.56231430252214,186.1776515447176
social_objective,1260.5878277444908,1479.3192819287078,1549.6419913891295,1690.3802592921,1625.4436261587061,1619.9247548979283
mip_gap,0.9957577434391635,0.7317327528702291,2.3440274451260765,2.6660306919643557,4.155204324593767,3.879979343209974
