,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,15000.0,15000.0,13500.0,13500.0,13500.0,13500.0
p_peak_increase,0.0,0.0,0.0,0.0,0.0,0.0
papr,2.3907,2.3924,2.3923,2.3924,2.3911,2.3921
avg_soc_t_dep_percent,96.3024,93.7974,96.0779,93.7907,96.3309,93.6577
avg_soc_to_max_deviation,3.6975999999999942,6.202600000000004,3.9221000000000004,6.209299999999999,3.6691000000000003,6.3422999999999945
soc_range,27.126292308780677,54.39952664301312,27.126292308780677,54.39952664301312,27.126292308780748,50.23623460015661
lowest_soc,72.87370769121932,45.60047335698688,72.87370769121932,45.60047335698688,72.87370769121925,49.76376539984339
num_cp,10.0,10.0,9.0,9.0,9.0,9.0
p_cp_rated,7.2,7.2,7.2,7.2,7.2,7.2
avg_num_charging_days,6.6,3.5,6.6,3.5,6.4,3.5
economic,0.0,0.0,0.0,0.0,0.0,0.0
technical,0.5,0.5,0.5,0.5,0.5,0.5
social,0.5,0.5,0.5,0.5,0.5,0.5
normalised_objective,357.010534886692,415.6948861904201,365.8645222272605,416.3261160267934,370.09580111668686,422.6920939182704
norm_economic,99.97358662921492,99.8997996144522,99.98660415242013,99.96018751591393,99.96558225962475,100.29315252814203
norm_technical,30.544018991760353,37.626440199481834,6.444185718683171,7.40332506458124,7.427427094733001,8.970840071425503
norm_social,0.09735718273956705,0.12363058130271062,0.15405148476538838,0.13895100567284693,0.15920569486393407,1.4349053256030941
total_objective_value,2439.666717673491,2556.888364080991,2306.464575264518,2407.383700466066,2315.0351224083633,2420.1421510847676
economic_objective,1725.645647900107,1725.4985917001504,1574.7355308099968,1574.731468412479,1574.8435201749899,1574.757963248227
technical_objective,217.8176357869024,242.74485943466783,235.52561046803945,244.0073191074142,243.9881682468921,239.65095489398948
social_objective,496.2034339864816,588.6449129461724,496.2034339864816,588.6449129461726,496.20343398648157,605.7332329425514
mip_gap,3.502852416763193e-13,0.7442823160112195,2.4200180128616693,2.5892370435009426,3.53564298500932,3.228729521306094
