,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
Charging point info,10 CPs (2.40 kW),10 CPs (2.40 kW),2 CPs (2.40 kW),5 CPs (2.40 kW),5 CPs (2.40 kW),4 CPs (2.40 kW)
Investment cost,"$2,000.00","$2,000.00",$400.00,"$1,000.00","$1,000.00",$800.00
Peak demand increase,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PAPR,2.40,2.44,2.44,2.40,2.40,2.40
Average SOC at dep time,94.26%,79.97%,82.18%,90.61%,93.74%,90.34%
Average deviation of SOC at dep time to max SOC,5.74%,20.03%,17.82%,9.39%,6.26%,9.66%
SOC min-max range,29.30%,54.74%,48.81%,54.40%,32.91%,54.40%
Average num of charging days,6.50,3.50,5.50,3.50,6.50,3.50
Optimality gap,0.0000%,4.9429%,1.9092%,4.8351%,1.1252%,4.8392%
Objective value,550.76,"1,107.26",876.78,685.96,552.55,660.38
Economic objective,"4,249.14","4,216.23","2,553.74","3,207.69","3,211.56","3,003.55"
Technical objective,205.04,169.34,267.35,225.92,265.71,254.17
Social objective,550.76,"1,107.26",876.78,685.96,552.55,660.38
