,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
Charging point info,10 CPs (2.40 kW),10 CPs (2.40 kW),10 CPs (2.40 kW),5 CPs (2.40 kW),5 CPs (2.40 kW),4 CPs (2.40 kW),6 CPs (2.40 kW),6 CPs (2.40 kW),5 CPs (2.40 kW)
Investment cost,"$2,000.00","$2,000.00","$2,000.00","$1,000.00","$1,000.00",$800.00,"$1,200.00","$1,200.00","$1,000.00"
Peak demand increase,3.01%,0.00%,0.00%,3.01%,0.00%,0.00%,3.01%,0.00%,0.00%
PAPR,2.44,2.39,2.40,2.44,2.40,2.40,2.45,2.40,2.40
Average SOC at dep time,94.67%,94.90%,91.21%,95.24%,93.51%,90.73%,94.53%,93.49%,91.53%
Lowest SOC at dep time,47.78%,72.87%,45.60%,47.78%,65.96%,49.57%,47.78%,66.86%,47.78%
SOC min-max range,52.22%,27.13%,54.40%,52.22%,34.04%,50.43%,52.22%,33.14%,52.22%
Average num of charging days,7.00,6.60,3.50,6.80,6.20,3.50,6.90,6.30,3.50
Optimality gap,,0.0000%,0.8262%,,2.8778%,2.9890%,,4.8626%,5.4499%
Economic objective,,425.28,424.87,,321.16,300.28,,341.83,321.03
Technical objective,,208.58,235.08,,250.56,248.17,,243.36,234.37
Social objective,,545.74,654.27,,549.89,661.46,,557.99,661.39
