,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
Charging point info,10 CPs (2.40 kW),10 CPs (2.40 kW),4 CPs (2.40 kW),4 CPs (2.40 kW),6 CPs (2.40 kW),4 CPs (2.40 kW)
Investment cost,"$2,000.00","$2,000.00",$800.00,$800.00,"$1,200.00",$800.00
Peak demand increase,1.24%,4.18%,4.40%,6.02%,0.00%,3.01%
PAPR,2.42,2.49,2.50,2.53,2.39,2.46
Average SOC at dep time,95.67%,92.04%,93.44%,92.49%,94.62%,91.11%
Lowest SOC at dep time,73.68%,45.60%,59.17%,47.78%,65.96%,45.60%
SOC min-max range,26.32%,54.40%,40.83%,52.22%,34.04%,54.40%
Average num of charging days,6.70,3.50,6.90,3.50,6.80,3.50
Optimality gap,0.0000%,0.7332%,2.0911%,2.7714%,3.1250%,4.9698%
Economic objective,425.43,425.65,300.82,301.02,342.36,301.05
Technical objective,321.27,341.40,"1,386.96",972.08,"1,138.65",871.65
Social objective,542.97,648.57,574.90,653.89,543.20,661.25
