,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
Charging point info,10 CPs (2.40 kW),10 CPs (2.40 kW),10 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW)
Investment cost,"$2,000.00","$2,000.00","$2,000.00",$600.00,$600.00,$600.00,$600.00,$600.00,$600.00
Peak demand increase,3.01%,0.00%,0.00%,3.01%,0.00%,0.00%,3.01%,0.00%,0.00%
PAPR,2.44,2.44,2.44,2.45,2.44,2.44,2.45,2.44,2.44
Average SOC at dep time,99.04%,80.77%,74.25%,93.01%,71.30%,70.63%,91.59%,73.51%,72.44%
Lowest SOC at dep time,80.12%,34.36%,34.01%,40.81%,24.01%,24.64%,35.25%,26.66%,26.58%
SOC min-max range,19.88%,65.64%,65.99%,59.19%,75.99%,75.36%,64.75%,73.34%,73.42%
Average num of charging days,7.00,5.30,3.50,6.60,4.00,3.50,6.90,3.90,3.50
Optimality gap,,0.0000%,0.3663%,,1.7222%,1.7567%,,2.0144%,2.2400%
Economic objective,,"4,217.34","4,216.23",,"2,762.08","2,762.09",,"2,762.08","2,762.09"
Technical objective,,164.73,168.97,,177.16,177.38,,178.69,179.40
Social objective,,"1,160.70","1,459.14",,"1,589.47","1,626.54",,"1,510.95","1,541.15"
