,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,2000.0,1000.0,1000.0,800.0,1200.0,1200.0,1000.0
p_peak_increase,3.01,0.0,0.0,3.01,0.0,0.0,3.01,0.0,0.0
papr,2.4443,2.3949,2.3995,2.4446,2.3981,2.3994,2.4457,2.3992,2.3995
avg_soc_t_dep_percent,94.673,94.8987,91.2095,95.2413,93.5091,90.7271,94.5296,93.4919,91.5265
avg_soc_to_max_deviation,5.326999999999998,5.101299999999995,8.790499999999994,4.758700000000005,6.490899999999996,9.272900000000007,5.470399999999998,6.508099999999999,8.473500000000001
soc_range,52.21601184678135,27.126292308780677,54.39952664301312,52.21601184678135,34.04238378587024,50.43017313347228,52.21601184678135,33.13689283255701,52.21601184678135
lowest_soc,47.78398815321865,72.87370769121932,45.60047335698688,47.78398815321865,65.95761621412976,49.56982686652772,47.78398815321865,66.86310716744299,47.78398815321865
num_cp,10.0,10.0,10.0,5.0,5.0,4.0,6.0,6.0,5.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,7.0,6.6,3.5,6.8,6.2,3.5,6.9,6.3,3.5
economic,,1.0,1.0,,1.0,1.0,,1.0,1.0
technical,,1.0,1.0,,1.0,1.0,,1.0,1.0
social,,1.0,1.0,,1.0,1.0,,1.0,1.0
normalised_objective,,1179.5964047386906,1314.220775484728,,1121.6086203358377,1209.906040167703,,1143.1723944934638,1216.7883702579459
norm_economic,,0.28893379268729186,0.25730877235583666,,4.985492230525266,3.4022602069475627,,6.549759558798216,4.991237923867512
norm_technical,,25.360657067801455,33.89585977986755,,7.787500129179165,7.799770958073604,,7.369500808609748,8.332208059555096
norm_social,,2.642000965234976,4.404751263663679,,4.5177757903540705,5.4778102569401295,,5.349552968343362,5.6415741842453775
total_objective_value,,1179.5964047386906,1314.220775484728,,1121.6086203358377,1209.906040167703,,1143.1723944934638,1216.7883702579459
economic_objective,,425.2797471721813,424.86930565944306,,321.15917381724284,300.27954186879913,,341.8255355068376,321.0348001972549
technical_objective,,208.5800159274902,235.08160245278933,,250.56398978691243,248.1660188161448,,243.35953147810665,234.36714660215875
social_objective,,545.7366416390191,654.2698673724955,,549.8854567316824,661.460479482759,,557.9873275085196,661.3864234585322
mip_gap,,0.0,0.8261850522619352,,2.877820512123417,2.98896277649224,,4.8625571801717475,5.449943813187017
