,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,800.0,600.0,1200.0,800.0
p_peak_increase,1.24,4.18,4.3999999999999995,0.0,3.01,3.01
papr,2.4229,2.4907,2.4986,2.3936,2.4644,2.4626
avg_soc_t_dep_percent,95.6747,92.0417,93.4355,90.3538,94.5375,91.1143
avg_soc_to_max_deviation,4.325299999999999,7.958299999999994,6.564499999999995,9.646199999999993,5.462500000000006,8.8857
soc_range,26.31578947368422,54.39952664301312,40.82809807158454,54.39952664301312,32.850613685123236,54.39952664301312
lowest_soc,73.68421052631578,45.60047335698688,59.17190192841546,45.60047335698688,67.14938631487676,45.60047335698688
num_cp,10.0,10.0,4.0,3.0,6.0,4.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,6.7,3.5,6.9,3.5,7.0,3.5
economic,0.5,0.5,0.5,0.5,0.5,0.5
technical,0.0,0.0,0.0,0.0,0.0,0.0
social,0.5,0.5,0.5,0.5,0.5,0.5
total_objective_value,,,,,,
economic_objective,425.4256285345188,425.64832325766673,300.8228888084914,280.02407362323663,342.42107010698174,301.0455835316385
technical_objective,321.2701329810661,341.3990189800158,1386.9583325883439,1033.623733911438,1285.1636645847748,871.6497744151337
social_objective,542.9680397645575,648.5673088072292,574.9011269350661,673.4764913481343,556.8908698173191,661.2464147178297
mip_gap,0.0,0.7332396701465652,2.0910720980452004,2.5038066763885016,4.606574909216935,4.96984044549427
