,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,600.0,600.0,600.0,600.0
p_peak_increase,0.0,0.0,0.0,0.0,0.0,0.0
papr,2.4368,2.437,2.4375,2.4375,2.4378,2.4375
avg_soc_t_dep_percent,76.5417,74.2807,73.5305,72.2766,69.7708,69.2828
avg_soc_to_max_deviation,23.458299999999994,25.719300000000004,26.469499999999996,27.723399999999998,30.229200000000006,30.717200000000005
soc_range,66.45447239194436,77.19346464318805,75.9866274351495,75.36155780969811,75.3615578096981,73.422797679574
lowest_soc,33.54552760805564,22.806535356811946,24.013372564850503,24.638442190301888,24.638442190301895,26.577202320425997
num_cp,10.0,10.0,3.0,3.0,3.0,3.0
p_cp_rated,1.3,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,6.1,3.4,4.3,3.5,4.2,3.5
economic,0.5,0.5,0.5,0.5,0.5,0.5
technical,0.5,0.5,0.5,0.5,0.5,0.5
social,0.0,0.0,0.0,0.0,0.0,0.0
total_objective_value,,,,,,
economic_objective,421.6335149625588,421.62276940547434,276.20754639177534,276.2075463917752,276.18486639177524,276.20754639177545
technical_objective,167.57824753604928,170.78239357392206,181.68175801228128,183.01961417284582,188.56231430252214,186.1776515447176
social_objective,1260.5878277444908,1479.3192819287078,1513.3913991503769,1563.601076555921,1625.4436261587061,1619.9247548979283
mip_gap,0.9957577434391635,0.7317327528702291,2.6589006319684376,2.982295375492896,4.155204324593767,3.879979343209974
