,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,400.0,400.0,400.0,400.0
p_peak_increase,3.1300000000000003,3.3099999999999996,3.01,0.0,6.02,3.01
papr,2.5145,2.519,2.5116,2.4383,2.5849,2.5116
avg_soc_t_dep_percent,42.1151,54.9335,63.2704,62.7278,61.8263,67.7688
avg_soc_to_max_deviation,57.8849,45.0665,36.7296,37.2722,38.1737,32.2312
soc_range,81.13613361170474,75.4316020342732,62.46826764877026,78.61488964243368,61.88359201552021,74.44434038149033
lowest_soc,18.863866388295268,24.56839796572681,33.36269598884255,21.385110357566315,30.293204095063803,25.55565961850967
num_cp,10.0,10.0,2.0,2.0,2.0,2.0
p_cp_rated,1.3,1.3,2.4,2.4,2.4,2.4
avg_num_charging_days,5.3,3.5,6.3,3.0,7.0,3.5
economic,1.0,1.0,1.0,1.0,1.0,1.0
technical,0.0,0.0,0.0,0.0,0.0,0.0
social,0.0,0.0,0.0,0.0,0.0,0.0
normalised_objective,421.5106649625589,421.5106649625588,255.373678661189,255.37367866118765,255.373678661189,255.37367866118697
norm_economic,-7.625721980263974e-16,2.7217689468003398e-15,-1.852701445377355e-15,2.246617215136583e-13,-3.773293007437006e-15,-7.628349670503357e-14
norm_technical,85.8573240887208,71.86059868859384,85.15833823860889,67.7888677512969,116.01772324703248,116.91412627136144
norm_social,100.00000000000003,99.99999999999996,100.70252468999117,90.56023085541057,106.35349268754719,83.60421514915974
total_objective_value,3178.781646128217,2854.2201454636815,3105.241647586909,2954.704171891328,3438.1218654571185,3080.920922714116
economic_objective,421.5106649625589,421.5106649625588,255.373678661189,255.37367866118765,255.373678661189,255.37367866118697
technical_objective,316.39521789468427,313.06773806263936,1116.7290533174257,877.4489637428936,1422.4488889875365,1132.7343269602422
social_objective,2440.8757632709735,2119.6417424384836,1733.1389156082942,1821.8815294872468,1760.2992978083928,1692.8129170926866
mip_gap,2.6971283806476005e-14,0.9886871972797652,9.897794245362837e-08,0.0,0.0,0.0
