,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,2000.0,600.0,600.0,600.0,600.0,600.0,1500.0
p_peak_increase,3.01,0.0,0.0,3.01,0.0,0.0,3.01,0.0,0.0
papr,2.4442,2.4357,2.437,2.4454,2.4375,2.4375,2.4475,2.4375,2.4377
avg_soc_t_dep_percent,99.0407,80.7683,74.2511,93.0053,71.296,70.6258,91.5863,73.5054,68.8667
avg_soc_to_max_deviation,0.9592999999999989,19.231700000000004,25.748900000000006,6.994699999999995,28.703999999999994,29.374200000000002,8.413700000000006,26.494600000000005,31.133300000000006
soc_range,19.875717119203514,65.6372911557147,65.98535718781369,59.19017286990467,75.9866274351495,75.36155780969811,64.74572842546023,73.3381935597804,78.38868658353476
num_cp,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,1.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,7.2
avg_num_charging_days,7.0,5.3,3.5,6.6,4.0,3.5,6.9,3.9,3.2
total_objective_value,,586.4644716965632,590.5922612328717,,453.3673995799049,453.59203048130337,,454.89585271329906,574.1050666857569
mip_gap,,1.7446607405468515e-13,0.3662904876659637,,1.72215594717572,1.75674884718622,,2.0144431486035916,22.41768472954839
