,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,2000.0,400.0,400.0,400.0,400.0,400.0,400.0
p_peak_increase,1.63,3.1300000000000003,3.3099999999999996,3.01,3.01,3.01,3.01,3.01,6.02
papr,2.4152,2.5145,2.519,2.4478,2.5116,2.5116,2.4497,2.5116,2.5849
avg_soc_t_dep_percent,96.5428,42.1151,54.9335,87.8123,64.6855,61.3984,87.3612,63.8668,61.4527
avg_soc_to_max_deviation,3.4572000000000003,57.8849,45.0665,12.187700000000007,35.314499999999995,38.6016,12.638800000000003,36.1332,38.5473
soc_range,35.69912981761631,81.13613361170474,75.4316020342732,68.78229692101931,68.31450504078067,77.60197461081863,66.59758027731208,70.51652441821295,78.41697256198574
num_cp,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0
p_cp_rated,1.3,1.3,1.3,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,7.0,5.3,3.5,6.6,6.1,3.5,6.3,7.0,3.4
total_objective_value,,4215.106649625589,4215.106649625588,,2553.7367866118902,2553.736786611847,,2553.7367866118902,2553.7367866118802
mip_gap,,0.0,0.40537954460832865,,0.11986335371730918,3.152836901951065e-08,,0.0,0.0
