,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,15000.0,15000.0,13500.0,13500.0,13500.0,10500.0
p_peak_increase,4.279999999999999,1.0699999999999998,13.420000000000002,0.0,0.0,0.0
papr,2.4891,2.4033,2.7111,2.3865,2.386,2.3879
avg_soc_t_dep_percent,95.9427,93.9125,95.9238,93.6844,96.519,93.9756
avg_soc_to_max_deviation,4.057299999999998,6.087500000000006,4.0762,6.315600000000003,3.4809999999999945,6.0244
soc_range,26.31578947368422,54.39952664301312,26.31578947368422,54.39952664301312,23.167649302885366,54.39952664301312
num_cp,10.0,10.0,9.0,9.0,9.0,7.0
p_cp_rated,7.2,7.2,7.2,7.2,7.2,7.2
avg_num_charging_days,6.7,3.4,6.0,3.5,6.8,3.4
total_objective_value,494.30831075458633,586.7497897142771,494.3083107545863,586.7497897142771,494.3083107545863,586.7497897142772
normalised_objective,,,,,,
economic,0.0,0.0,0.0,0.0,0.0,0.0
technical,0.0,0.0,0.0,0.0,0.0,0.0
social,1.0,1.0,1.0,1.0,1.0,1.0
economic_objective,17259.90204917811,17268.06503162566,15749.12294191691,15752.569467285333,15752.978082350566,12735.968451466102
technical_objective,341.59983717071606,370.87093201920055,1282.8811749252045,1215.342301773258,1193.7372948483653,992.7930165020579
social_objective,494.30831075458633,586.7497897142771,494.3083107545863,586.7497897142771,494.3083107545863,586.7497897142772
mip_gap,4.59983517364161e-14,0.3615065406971353,1.3799505520924818e-13,0.8536646897846651,0.0,0.7284411539384453
