,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,15000.0,15000.0,13500.0,10500.0,13500.0,13500.0
p_peak_increase,0.0,0.0,0.0,0.0,0.0,0.0
papr,2.4355,2.4364,2.4355,2.4366,2.4359,2.4365
avg_soc_t_dep_percent,80.7186,76.4719,80.7186,72.661,78.506,70.6848
avg_soc_to_max_deviation,19.281400000000005,23.528099999999995,19.281400000000005,27.339,21.494,29.315200000000004
soc_range,74.44031041099228,74.48865530540658,74.44031041099228,74.48865530540661,78.41937589313417,77.83488111456407
lowest_soc,25.55968958900771,25.51134469459341,25.55968958900771,25.51134469459339,21.580624106865823,22.16511888543593
num_cp,10.0,10.0,9.0,7.0,9.0,9.0
p_cp_rated,7.2,7.2,7.2,7.2,7.2,7.2
avg_num_charging_days,4.4,3.5,4.4,3.3,4.5,3.5
economic,0.0,0.0,0.0,0.0,0.0,0.0
technical,1.0,1.0,1.0,1.0,1.0,1.0
social,0.0,0.0,0.0,0.0,0.0,0.0
total_objective_value,,,,,,
economic_objective,1721.744843444768,1721.668220050446,1570.9777201570967,1269.353618097403,1570.9484524252755,1570.9009704372127
technical_objective,163.3830737085036,165.5952969787832,163.38307370850356,166.42863343143037,171.28914539890906,172.140147002704
social_objective,1201.8112777947183,1431.3310027618318,1201.8112777947183,1552.288942392559,1314.898943854154,1753.174696316392
mip_gap,0.0,0.578583789813664,0.0,1.1267564255383513,4.615629129325584,4.777059418318904
