,config_1_uncoordinated,config_1_opportunistic,config_1_flexible,config_2_uncoordinated,config_2_opportunistic,config_2_flexible,config_3_uncoordinated,config_3_opportunistic,config_3_flexible
investment_cost,15000.0,15000.0,15000.0,13500.0,13500.0,13500.0,13500.0,13500.0,13500.0
p_peak_increase,7.5600000000000005,0.0,0.0,13.600000000000001,0.0,0.0,4.58,0.0,0.0
papr,2.5484,2.4355,2.4364,2.6931,2.4355,2.4364,2.4792,2.4358,2.4364
avg_soc_t_dep_percent,100.0,80.7186,76.3571,97.5559,80.7186,74.8003,97.3759,79.5034,75.3929
avg_soc_to_max_deviation,0.0,19.281400000000005,23.642899999999997,2.444100000000006,19.281400000000005,25.199700000000007,2.6240999999999985,20.4966,24.607100000000003
soc_range,0.0,74.44031041099228,75.68068684586513,52.21601184678135,74.44031041099228,74.44031041099228,52.21601184678135,74.44031041099228,75.68068684586504
num_cp,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
p_cp_rated,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
avg_num_charging_days,7.0,4.4,3.5,6.9,4.4,3.3,6.9,4.3,3.3
total_objective_value,,163.3830737085036,165.45820215484477,,163.38307370850356,165.79148994335532,,163.45697034915867,165.6104319845369
mip_gap,,0.0,0.47512024432413374,,0.0,0.7776079846474444,,0.04520862004031844,0.9649077149265365
