,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,2000.0,2000.0,1000.0,800.0,1200.0,800.0
p_peak_increase,0.0,0.0,0.0,0.0,0.0,0.0
papr,2.3949,2.3995,2.3995,2.3998,2.3992,2.3998
avg_soc_t_dep_percent,94.8987,91.2106,93.5124,90.4045,93.5345,89.8684
avg_soc_to_max_deviation,5.101299999999995,8.7894,6.4876000000000005,9.595500000000001,6.465500000000006,10.131600000000006
soc_range,27.126292308780677,54.39952664301312,35.17333616682262,54.39952664301312,34.04238378587024,54.39952664301312
num_cp,10.0,10.0,5.0,4.0,6.0,4.0
p_cp_rated,2.4,2.4,2.4,2.4,2.4,2.4
avg_num_charging_days,6.6,3.5,6.3,3.5,6.1,3.5
total_objective_value,1179.5964047386906,1315.3797214216695,1111.3316598205847,1203.2231060612316,1120.8111184793836,1211.6991649170611
mip_gap,0.0,0.4659716394280802,1.9982348467152977,2.993162303270103,2.8838329010343693,5.355673242799136
