,config_1_opportunistic
investment_cost,2000.0
p_peak_increase,0.0
papr,2.3949
avg_soc_t_dep_percent,94.8987
avg_soc_to_max_deviation,5.101299999999995
soc_range,27.126292308780677
lowest_soc,72.87370769121932
num_cp,10.0
p_cp_rated,2.4
avg_num_charging_days,6.6
economic,1.0
technical,1.0
social,1.0
normalised_objective,1179.5964047386906
norm_economic,0.28893379268729186
norm_technical,25.360657067801455
norm_social,2.642000965234976
total_objective_value,1179.5964047386906
economic_objective,425.2797471721813
technical_objective,208.5800159274902
social_objective,545.7366416390191
mip_gap,0.0
