,config_2_opportunistic
investment_cost,1000.0
p_peak_increase,0.0
papr,2.409
avg_soc_t_dep_percent,95.4903
avg_soc_to_max_deviation,4.509699999999995
soc_range,20.39745281967079
lowest_soc,79.60254718032921
num_cp,5.0
p_cp_rated,2.4
avg_num_charging_days,6.5
economic,1.0
technical,1.0
social,1.0
normalised_objective,809.9223659056187
norm_economic,4.913112239033443
norm_technical,6.933396087202784
norm_social,-19.963802467864113
total_objective_value,809.9223659056187
economic_objective,320.2040918795906
technical_objective,241.00231125457177
social_objective,248.71596277145633
mip_gap,2.993770413113603
