,config_1_flexible
investment_cost,2000.0
p_peak_increase,0.0
papr,2.3995
avg_soc_t_dep_percent,91.2095
avg_soc_to_max_deviation,8.790499999999994
soc_range,54.39952664301312
lowest_soc,45.60047335698688
num_cp,10.0
p_cp_rated,2.4
avg_num_charging_days,3.5
economic,1.0
technical,1.0
social,1.0
normalised_objective,1314.220775484728
norm_economic,0.25730877235583666
norm_technical,33.89585977986755
norm_social,4.404751263663679
total_objective_value,1314.220775484728
economic_objective,424.86930565944306
technical_objective,235.08160245278933
social_objective,654.2698673724955
mip_gap,0.8261850522619352
