,config_1_opportunistic
investment_cost,2000.0
p_peak_increase,0.0
papr,2.4357
avg_soc_t_dep_percent,81.9301
avg_soc_to_max_deviation,18.069900000000004
soc_range,65.63729115571468
num_cp,10.0
p_cp_rated,2.4
avg_num_charging_days,5.7
economic,0.025
technical,0.95
social,0.025
normalised_objective,0.1472723482301152
norm_economic,0.00171303142741102
norm_technical,0.07953526435744224
norm_social,2.8668408521943927
total_objective_value,5434.500009719121
economic_objective,4217.341264073947
technical_objective,164.80052544799307
social_objective,1052.358220197181
mip_gap,8.966940753401187e-05
