,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
investment_cost,15000.0,15000.0,13500.0,13500.0,13500.0,13500.0
p_peak_increase,0.0,0.0,0.0,0.0,0.0,0.0
papr,2.3907,2.3924,2.3923,2.3924,2.3911,2.3921
avg_soc_t_dep_percent,96.3024,93.7974,96.0779,93.6323,96.3309,93.6577
avg_soc_to_max_deviation,3.6975999999999942,6.202600000000004,3.9221000000000004,6.367699999999999,3.6691000000000003,6.3422999999999945
soc_range,27.126292308780677,54.39952664301312,27.126292308780677,54.39952664301312,27.126292308780748,50.23623460015661
lowest_soc,72.87370769121932,45.60047335698688,72.87370769121932,45.60047335698688,72.87370769121925,49.76376539984339
num_cp,10.0,10.0,9.0,9.0,9.0,9.0
p_cp_rated,7.2,7.2,7.2,7.2,7.2,7.2
avg_num_charging_days,6.6,3.5,6.6,3.5,6.4,3.5
economic,0.0,0.0,0.0,0.0,0.0,0.0
technical,0.5,0.5,0.5,0.5,0.5,0.5
social,0.5,0.5,0.5,0.5,0.5,0.5
total_objective_value,,,,,,
economic_objective,1725.645647900107,1725.4985917001504,1574.7355308099968,1574.7314684124792,1574.8435201749899,1574.757963248227
technical_objective,217.8176357869024,242.74485943466783,235.52561046803945,243.27661683575508,243.9881682468921,239.65095489398948
social_objective,496.2034339864816,588.6449129461724,496.2034339864816,589.6320663653636,496.20343398648157,605.7332329425514
mip_gap,3.502852416763193e-13,0.7442823160112195,2.4200180128616693,2.9940161688236664,3.53564298500932,3.228729521306094
