,config_1_uncoordinated,config_1_opportunistic,config_1_flexible
investment_cost,5000.0,5000.0,5000.0
p_peak_increase,7.580000000000001,0.0,0.0
papr,2.1015,1.9894,1.9945
avg_soc_t_dep_percent,98.8771,95.0926,90.8886
avg_soc_to_max_deviation,1.1229000000000013,4.9073999999999955,9.111400000000003
soc_range,24.97808817325533,32.67878170390675,53.211216009550455
num_cp,25.0,25.0,25.0
p_cp_rated,2.4,2.4,2.4
avg_num_charging_days,7.0,6.4,3.8
total_objective_value,,4594.131601381501,4675.191554974826
mip_gap,,0.0,0.49023390121979116
