,config_2_opportunistic
investment_cost,1000.0
p_peak_increase,0.0
papr,2.4579
avg_soc_t_dep_percent,94.6877
avg_soc_to_max_deviation,5.312299999999993
soc_range,35.71428571428572
lowest_soc,64.28571428571428
num_cp,5.0
p_cp_rated,2.4
avg_num_charging_days,5.9
economic,1.0
technical,1.0
social,1.0
normalised_objective,1052.2044790511068
norm_economic,4.595987313483168
norm_technical,4.0490971391808515
norm_social,2.695849480122783
total_objective_value,1052.2044790511068
economic_objective,316.01950602748235
technical_objective,208.71263929805295
social_objective,527.4723337255714
mip_gap,2.916083880404329
