,objective_value,investor_score,dso_score,user_score,economic_weight,technical_weight,social_weight,pareto_rank,distance_to_ideal
42,404.80994205835054,0.9655172413793104,0.6679821561433026,0.7304143059097192,0.1,0.6000000000000001,0.3,1,0.4290703389183194
40,383.7050022330701,0.9655172413793104,0.8977494963740964,0.47600015824860664,0.1,0.8,0.1,1,0.5349953834280525
36,650.0424788346029,0.9655172413793104,0.4177257764567806,0.8677536485799786,0.2,0.2,0.6,1,0.598098177148919
44,414.3856680939499,0.9655172413793104,0.42082923569173974,0.8534938794109748,0.1,0.4,0.5,1,0.5984077859132123
45,419.54175242423736,0.9655172413793104,0.42159246663509087,0.850489036266081,0.1,0.3,0.6,1,0.5984127869389293
34,640.175390036618,0.9655172413793104,0.42342657357411895,0.8305132224915514,0.2,0.4,0.4,1,0.6019565968180529
25,838.2694210793344,1.0,0.657193858548785,0.4409650259454614,0.3,0.4,0.3,1,0.6557714181274059
33,630.3363730123493,1.0,0.6696441518254908,0.43336385347632617,0.2,0.5,0.3,1,0.6559051066810638
21,1071.458834715721,1.0,0.5731674574037191,0.4664679482079694,0.4,0.1,0.5,1,0.6832587135987509
57,166.08100815128796,0.0,0.9999999999999386,0.9869661238633722,0.0,0.2,0.8,1,1.0000849373563951
55,161.03850655872577,0.0,0.9959463794449935,0.9869661238633851,0.0,0.4,0.6,1,1.000093152544676
39,342.1742189641461,1.0,0.8420043098605356,0.006612451653278532,0.1,0.9,0.0,1,1.0058734807683098
11,1182.155980334062,1.0,0.8444725591944905,0.0,0.5,0.5,0.0,1,1.0120221266570761
59,170.79861517547266,0.0,0.0,0.991847412956113,0.0,0.0,1.0,1,1.4142370609892487
41,397.788561954729,0.9655172413793104,0.639707260403227,0.6381849487641696,0.1,0.7000000000000001,0.2,2,0.5117714823522578
37,656.1159839427379,0.9655172413793104,0.4175644267271028,0.8677496792557048,0.2,0.1,0.7,2,0.598256136611059
46,424.27501069943935,0.9655172413793104,0.4199158320450665,0.8530211424604042,0.1,0.2,0.7,2,0.5994076134966131
35,645.8726821378605,0.9655172413793104,0.4208596570199792,0.8463360638514402,0.2,0.3,0.5,2,0.6001709779569299
43,409.68358784665986,0.9655172413793104,0.42119613602849276,0.8175786097378146,0.1,0.5,0.4,2,0.6078491072755049
15,1267.5281337607328,1.0,0.6312228842411763,0.44046358906735356,0.5,0.1,0.4,2,0.6701324915766912
24,824.2822489344039,1.0,0.6529441633724411,0.4108248531104316,0.3,0.5,0.2,2,0.6837946383597925
28,877.4843061595068,1.0,0.5137561767668524,0.46544495492861787,0.3,0.1,0.6,2,0.7226217211263828
58,168.67114186849773,0.0,0.9993595255974435,0.986966123863372,0.0,0.1,0.9,2,1.0000851424426849
30,553.2219189897768,1.0,0.8379422938610737,0.0,0.2,0.8,0.0,2,1.0130462477690791
47,429.3944635677075,0.9655172413793104,0.4175175112280774,0.8535777680678658,0.1,0.1,0.8,3,0.6015932017335414
32,616.6454392375681,1.0,0.6479220764628704,0.4081306135314155,0.2,0.6000000000000001,0.2,3,0.6886713547701222
13,1240.8144123421837,1.0,0.6189545784619107,0.4248995898508858,0.5,0.3,0.2,3,0.6898812180577316
14,1256.613137946708,1.0,0.6034192007520685,0.4334546779406103,0.5,0.2,0.3,3,0.6915561671184096
16,1275.3997645023455,1.0,0.2197135094257476,0.4599793250627636,0.5,0.0,0.5,3,0.9489306279872892
54,158.23859116122827,0.0,0.9987569338322302,0.9867846425762767,0.0,0.5,0.5,3,1.0000880915626054
19,1045.7296594177733,1.0,0.6384161253553982,0.3902584292911885,0.4,0.3,0.3,4,0.7088918686608359
20,1060.9919115463406,1.0,0.5537830689504062,0.42050101627149916,0.4,0.2,0.4,4,0.731388147085857
18,1033.4556990312064,1.0,0.566677238293582,0.4013448224507473,0.4,0.4,0.2,4,0.7390241115277664
26,852.212577782981,1.0,0.5592421206704531,0.40486100518493184,0.3,0.3,0.4,4,0.7405794564667381
27,864.2180832437708,1.0,0.5091235781846307,0.4292132508518859,0.3,0.2,0.5,4,0.7528327666204045
29,888.7345986051458,0.9655172413793104,0.1274491849910727,0.810684774389419,0.3,0.0,0.7,4,0.8935179013667389
48,432.4902888001568,0.9655172413793104,0.07025935642113308,0.8397475682775023,0.1,0.0,0.9,4,0.9440802756320631
22,1080.9277731386248,1.0,0.19916111236126813,0.45269561664520735,0.4,0.0,0.6,4,0.969992274192847
56,163.24761524853182,0.0,0.9961987742407215,0.9845633939216168,0.0,0.3,0.7,4,1.000126361078685
8,1451.954420580124,1.0,0.6115918528211226,0.37261292395067547,0.6000000000000001,0.2,0.2,5,0.7378857851921592
9,1464.8876974571956,1.0,0.5459851313174211,0.39686338220897804,0.6000000000000001,0.1,0.3,5,0.754919386891907
5,1654.0430523002217,1.0,0.45727196908827256,0.39966675649626204,0.7000000000000001,0.1,0.2,5,0.8092921096816892
38,657.7032885946621,0.9655172413793104,0.0674214315033526,0.8360341153408818,0.2,0.0,0.8,5,0.9475107695395321
10,1473.2483483961234,1.0,0.17321754206487922,0.4413895649726572,0.6000000000000001,0.0,0.4,5,0.9978050164589659
53,155.76695139159415,0.0,0.994327812258916,0.9768790604324905,0.0,0.6000000000000001,0.4,5,1.0002833356405847
7,1433.4810416756031,1.0,0.5712600295666068,0.2728151631996346,0.6000000000000001,0.3,0.1,6,0.8441657118833961
3,1865.3586909093135,1.0,0.42233804592863444,0.354136034658293,0.8,0.0,0.2,6,0.8665065463736914
6,1665.8575840762885,1.0,0.3758875805177104,0.38819623211419513,0.7000000000000001,0.0,0.3,6,0.8739680557956938
17,1013.2525433497732,1.0,0.5772979881707351,0.20524779764529388,0.4,0.5,0.1,6,0.9001711248158117
52,153.0460529163174,0.0,0.9894961100063956,0.9715550683437737,0.0,0.7000000000000001,0.3,6,1.0004596172969327
23,804.2376440974076,1.0,0.5668252648840197,0.2520669514754189,0.3,0.6000000000000001,0.1,7,0.8643171849605172
12,1223.9461185138734,1.0,0.5681849265027807,0.18118397004206382,0.5,0.4,0.1,7,0.9257018681062951
51,148.61049241358091,0.0,0.938641568506746,0.8944624755245477,0.0,0.8,0.2,7,1.0074239555359596
4,1643.262222154554,1.0,0.5377772016713205,0.24963308627113243,0.7000000000000001,0.2,0.1,8,0.8813060878683301
31,596.1183504131609,1.0,0.5655541526953415,0.20402387594771712,0.2,0.7000000000000001,0.1,8,0.9068192677163173
2,1850.717955750512,1.0,0.5668545944883834,0.1514758340766038,0.8,0.1,0.1,8,0.9526847340394502
50,138.41556317221546,0.0,0.8638149821163081,0.7289872250813478,0.0,0.9,0.1,8,1.0449853028942988
1,2053.8254328649505,1.0,0.08166733103660455,0.2455083993524423,0.9,0.0,0.1,9,1.1885253326425764
0,2230.0293773666685,1.0,0.17410743927603647,0.0752370966282687,1.0,0.0,0.0,9,1.2398729569240956
49,116.99731285883529,0.0,0.8190166722561035,0.006536856727019572,0.0,1.0,0.0,9,1.4211699342313309
