,config_2_opportunistic
investment_cost,1000.0
p_peak_increase,0.0
papr,2.3995
avg_soc_t_dep_percent,93.4403
avg_soc_to_max_deviation,6.5597000000000065
soc_range,35.17333616682262
lowest_soc,64.82666383317738
num_cp,5.0
p_cp_rated,2.4
avg_num_charging_days,6.2
economic,1.0
technical,1.0
social,1.0
normalised_objective,1121.4806773856726
norm_economic,4.9760666920435686
norm_technical,7.592451564694863
norm_social,4.694984090239886
total_objective_value,1121.4806773856726
economic_objective,321.03480019725515
technical_objective,248.38042481106024
social_objective,552.0654523773572
mip_gap,2.9666372700648114
