,config_2_opportunistic
investment_cost,800.0
p_peak_increase,0.0
papr,2.4281
avg_soc_t_dep_percent,95.9797
avg_soc_to_max_deviation,4.020300000000006
soc_range,26.27179103167599
lowest_soc,73.72820896832401
num_cp,4.0
p_cp_rated,2.4
avg_num_charging_days,6.5
economic,1.0
technical,1.0
social,1.0
normalised_objective,1044.0955986897836
norm_economic,3.2137935414434238
norm_technical,5.300272714433468
norm_social,2.380679287884601
total_objective_value,1044.0955986897836
economic_objective,297.7809254639603
technical_objective,222.71952610589312
social_objective,523.5951471199302
mip_gap,3.374468126894899
