config,strategy,model,version,wait_time,config_num
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0.0,1
