config,strategy,model,version,ev_id,arrival_time,charge_start_time,wait_time,soc_before_charging,config_num
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-21 18:00:00,2022-02-21 18:00:00,0.0,88.93288733089723,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-22 16:00:00,2022-02-22 16:00:00,0.0,91.44923498128307,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-23 16:00:00,2022-02-23 16:00:00,0.0,93.64424124426903,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-24 16:15:00,2022-02-24 16:15:00,0.0,94.40819584935969,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-25 15:45:00,2022-02-25 15:45:00,0.0,88.51849502467655,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-26 12:30:00,2022-02-26 12:30:00,0.0,87.60639207311286,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-26 22:15:00,2022-02-26 22:15:00,0.0,89.72600075354478,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,0,2022-02-27 14:00:00,2022-02-27 14:00:00,0.0,89.06181025297364,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,1,2022-02-21 18:30:00,2022-02-21 18:30:00,0.0,57.10660394539842,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,1,2022-02-22 18:15:00,2022-02-22 18:15:00,0.0,76.6068948534815,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,1,2022-02-23 18:00:00,2022-02-23 18:00:00,0.0,91.42007607378562,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,1,2022-02-24 17:15:00,2022-02-24 17:15:00,0.0,85.55142152210337,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,1,2022-02-25 16:15:00,2022-02-25 16:15:00,0.0,90.17574106882176,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,1,2022-02-26 14:00:00,2022-02-26 14:00:00,0.0,89.52808367309683,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,1,2022-02-27 16:45:00,2022-02-27 16:45:00,0.0,87.04765645899968,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,2,2022-02-21 20:15:00,2022-02-21 20:15:00,0.0,62.15886842322197,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,2,2022-02-22 19:15:00,2022-02-22 19:15:00,0.0,83.75318444176783,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,2,2022-02-23 19:00:00,2022-02-23 19:00:00,0.0,86.35746132038032,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,2,2022-02-24 23:45:00,2022-02-24 23:45:00,0.0,91.50242402754995,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,2,2022-02-25 19:00:00,2022-02-25 19:00:00,0.0,80.73018419535228,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,2,2022-02-26 16:45:00,2022-02-26 16:45:00,0.0,87.01744100659853,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,2,2022-02-27 18:45:00,2022-02-27 18:45:00,0.0,90.47605689909916,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-21 18:30:00,2022-02-21 18:30:00,0.0,80.58204687921587,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-22 15:00:00,2022-02-22 15:00:00,0.0,88.66825179837761,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-23 21:30:00,2022-02-23 21:30:00,0.0,84.53390879068508,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-24 14:30:00,2022-02-24 14:30:00,0.0,86.22373569049269,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-25 18:15:00,2022-02-25 18:15:00,0.0,90.2533081577813,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-26 18:45:00,2022-02-26 18:45:00,0.0,87.21803785406307,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-27 13:00:00,2022-02-27 13:00:00,0.0,86.91146663674705,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-27 16:15:00,2022-02-27 16:15:00,0.0,89.4061653812824,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,3,2022-02-27 23:45:00,2022-02-27 23:45:00,0.0,85.11450846540598,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-21 18:15:00,2022-02-21 18:15:00,0.0,34.908654323927564,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-22 15:45:00,2022-02-22 15:45:00,0.0,69.97739300146141,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-23 15:15:00,2022-02-23 15:15:00,0.0,81.9594257040318,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-24 16:30:00,2022-02-24 16:30:00,0.0,90.69630071658887,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-25 07:30:00,2022-02-25 07:30:00,0.0,86.3761387891721,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-26 13:00:00,2022-02-26 13:00:00,0.0,87.89333582206164,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-26 16:15:00,2022-02-26 16:15:00,0.0,84.88777281760837,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-26 23:45:00,2022-02-26 23:45:00,0.0,86.790671287448,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-27 16:00:00,2022-02-27 16:00:00,0.0,83.34324137196188,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,4,2022-02-27 22:00:00,2022-02-27 22:00:00,0.0,76.33970455493238,1
