Metric,CS1_FLAT_50EVs_15km_SOCmin40%,CS1_FLAT_50EVs_15km_SOCmin60%,CS1_FLAT_50EVs_15km_SOCmin80%,CS1_FLAT_50EVs_25km_SOCmin40%,CS1_FLAT_50EVs_25km_SOCmin60%,CS1_FLAT_50EVs_25km_SOCmin80%,CS1_FLAT_50EVs_35km_SOCmin40%,CS1_FLAT_50EVs_35km_SOCmin60%,CS1_FLAT_50EVs_35km_SOCmin80%,CS1_FLAT_100EVs_15km_SOCmin40%,CS1_FLAT_100EVs_15km_SOCmin60%,CS1_FLAT_100EVs_15km_SOCmin80%,CS1_FLAT_100EVs_25km_SOCmin40%,CS1_FLAT_100EVs_25km_SOCmin60%,CS1_FLAT_100EVs_25km_SOCmin80%,CS1_FLAT_100EVs_35km_SOCmin40%,CS1_FLAT_100EVs_35km_SOCmin60%,CS1_FLAT_100EVs_35km_SOCmin80%,CS1_TOU_50EVs_15km_SOCmin40%,CS1_TOU_50EVs_15km_SOCmin60%,CS1_TOU_50EVs_15km_SOCmin80%,CS1_TOU_50EVs_25km_SOCmin40%,CS1_TOU_50EVs_25km_SOCmin60%,CS1_TOU_50EVs_25km_SOCmin80%,CS1_TOU_50EVs_35km_SOCmin40%,CS1_TOU_50EVs_35km_SOCmin60%,CS1_TOU_50EVs_35km_SOCmin80%,CS1_TOU_100EVs_15km_SOCmin40%,CS1_TOU_100EVs_15km_SOCmin60%,CS1_TOU_100EVs_15km_SOCmin80%,CS1_TOU_100EVs_25km_SOCmin40%,CS1_TOU_100EVs_25km_SOCmin60%,CS1_TOU_100EVs_25km_SOCmin80%,CS1_TOU_100EVs_35km_SOCmin40%,CS1_TOU_100EVs_35km_SOCmin60%,CS1_TOU_100EVs_35km_SOCmin80%,US1_FLAT_50EVs_15km_SOCmin40%,US1_FLAT_50EVs_15km_SOCmin60%,US1_FLAT_50EVs_15km_SOCmin80%,US1_FLAT_50EVs_25km_SOCmin40%,US1_FLAT_50EVs_25km_SOCmin60%,US1_FLAT_50EVs_25km_SOCmin80%,US1_FLAT_50EVs_35km_SOCmin40%,US1_FLAT_50EVs_35km_SOCmin60%,US1_FLAT_50EVs_35km_SOCmin80%,US1_FLAT_100EVs_15km_SOCmin40%,US1_FLAT_100EVs_15km_SOCmin60%,US1_FLAT_100EVs_15km_SOCmin80%,US1_FLAT_100EVs_25km_SOCmin40%,US1_FLAT_100EVs_25km_SOCmin60%,US1_FLAT_100EVs_25km_SOCmin80%,US1_FLAT_100EVs_35km_SOCmin40%,US1_FLAT_100EVs_35km_SOCmin60%,US1_FLAT_100EVs_35km_SOCmin80%,US1_TOU_50EVs_15km_SOCmin40%,US1_TOU_50EVs_15km_SOCmin60%,US1_TOU_50EVs_15km_SOCmin80%,US1_TOU_50EVs_25km_SOCmin40%,US1_TOU_50EVs_25km_SOCmin60%,US1_TOU_50EVs_25km_SOCmin80%,US1_TOU_50EVs_35km_SOCmin40%,US1_TOU_50EVs_35km_SOCmin60%,US1_TOU_50EVs_35km_SOCmin80%,US1_TOU_100EVs_15km_SOCmin40%,US1_TOU_100EVs_15km_SOCmin60%,US1_TOU_100EVs_15km_SOCmin80%,US1_TOU_100EVs_25km_SOCmin40%,US1_TOU_100EVs_25km_SOCmin60%,US1_TOU_100EVs_25km_SOCmin80%,US1_TOU_100EVs_35km_SOCmin40%,US1_TOU_100EVs_35km_SOCmin60%,US1_TOU_100EVs_35km_SOCmin80%
Tariff type,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou
Number of EVs,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100
Average travel distance (km),15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km
Minimum SOC (%),40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%
Number of households,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Number of CPs,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100
Max charging power (kW),1.30 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,1.30 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,1.30 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,1.30 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW
Total cost ($),"$30,544.63","$30,570.66","$88,196.79","$30,849.63","$30,863.19","$95,965.39","$88,655.22","$88,660.99","$96,239.12","$41,449.08","$41,501.48","$171,753.02","$42,063.77","$42,091.36","$172,295.05","$157,679.48","$157,691.82","$172,848.60","$29,413.82","$29,424.74","$86,967.86","$29,508.83","$29,516.94","$94,555.14","$87,095.83","$87,102.83","$94,656.69","$39,932.91","$39,955.40","$170,033.92","$40,125.79","$40,140.12","$170,208.57","$155,296.99","$155,309.62","$170,399.33","$30,824.34","$30,833.87","$88,336.13","$31,127.29","$31,127.29","$96,140.39","$88,931.21","$88,931.21","$96,442.49","$42,021.60","$42,039.79","$172,045.29","$42,636.13","$42,636.13","$172,656.53","$158,250.08","$158,250.08","$173,267.83","$30,359.04","$30,359.04","$87,780.70","$30,973.98","$30,973.98","$95,829.79","$89,032.85","$89,032.85","$96,432.03","$41,795.21","$41,795.21","$171,542.45","$43,023.35","$43,023.35","$172,656.61","$159,086.90","$159,086.90","$173,834.08"
Investment & maintenance cost ($),"$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12","$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12","$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12","$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12"
Total household load cost ($),"$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20"
